establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
Scott's Roofing Inc|Scott's Roofing Inc|OR|1|21|23|11154|453540373|'Scott's roofing'|scott's roofing|false
Infinity Roofing, LLC|Infinity Roofing, LLC|FL|1|1|8|16640|854239518|'Infinity Roofing Contractors'|infinity roofing|false
Diversified Roofing|Diversified Roofing|AZ|1|3|456|866910|860599690|'Diversified Roofing'|diversified roofing|false
Wichita Office|AR Roofing|KS|2|21|25|44000|50571696|'Ar Roofing Contractors'|ar roofing|false
McEnany Roofing, Inc T|McEnany Roofing, Inc|FL|1|22|140|219374|592583665|'Mcenany Roofing'|mcenany roofing|false
Spann Roofing & Sheet Metal, Inc.|Spann Roofing & Sheet Metal, Inc.|SC|1|21|84|172153|570373011|'Spann Roofing & Sheet Metal'|spann roofing & sheet metal|false
Triad Mfg|Triad Manufacturing Inc.|MO|1|3|359|685176|431587028|'Triad'|triad|false
Roman Roofing|Roman Roofing, Inc.|FL|1|3|360|720000|473093920|'Roman Roofing'|roman roofing|false
Rackley Roofing Co Inc|Rackley Roofing Co Inc|TN|1|22|122|180182|620932570|'Rackley Roofing'|rackley roofing|false
Pax Deridder|Pax LLC|LA|1|1|13|34158||'PAX Services Group'|pax|false
Pax Gonzales|Pax LLC|LA|1|21|32|73036||'PAX Services Group'|pax|false
CertainTeed Corporation Williamsport Maryland|CertainTeed Corporation|MD|1|3|308|606068||'CertainTeed'|certainteed|false
Quality Roofing, Inc|Quality Roofing, Inc|FL|1|22|138|346713|900679536|'Quality Roofing'|quality roofing|false
Mueller Construction Company, LLC|Mueller Construction Company LLC|TX|1|1|16|31961|752710857|'Mueller'|mueller|false
Advanced Roofing, Inc.|Advanced Roofing, Inc.|MI|1|21|21|33670|382819536|'Advanced Roofing', 'Advanced Roofing Services'|advanced roofing|true
Empire Roofing Inc.|Empire Roofing Inc.|MT|1|21|20|33938|810495020|'Empire Roofing', 'Empire Roofing Contractors', 'Empire Roofing Services'|empire roofing|true
Naomi Heights Nursing and Rehab Center|Central Management|LA|1|22|101|118787|201897905|'CENTRAL'|central|false
Eberhard|Eberhard|CA|1|22|160|294584|953071086|'Eberhard'|eberhard|false
Wayne's Roofing, Inc.|Wayne's Roofing, Inc.|WA|1|22|127|212937|910949176|'Wayne's Roofing'|wayne's roofing|false
Autumn Leaves Nursing & Rehabilitation Center, LLC|Central Management Co.|LA|1|22|134|230087|721080818|'CENTRAL'|central|false
Modern Roofing, Inc.|Modern Roofing, Inc.|MI|1|21|56|89674|382184928|'Modern Roofing'|modern roofing|false
Sterling Commercial Roofing|Sterling Commercial Roofing, Inc.|IL|1|22|170|286973|262635202|'Sterling Commercial Roofing'|sterling commercial roofing|false
River Oaks Nursing and Rehabilitation Center|Central Management LLC|LA|1|22|106|184523||'CENTRAL'|central|false
Progressive Roofing Inc.|Progressive Roofing Inc.|MA|1|1|15|27147|43425540|'Progressive Roofing'|progressive roofing|false
Skyline Roofing Inc.|Skyline Roofing, Incorporated|VA|1|21|55|126196|205864185|'Skyline Roofing Partners'|skyline roofing|false
Apple Roofing Corp.|Apple Roofing Corp.|NY|1|21|37|66471|161198739|'Apple Roofing'|apple roofing|false
Roseview Nursing & Rehabilitation Center, LLC|Central Management Company LLC|LA|1|22|127|217961|453200069|'CENTRAL'|central|false
Plantation Oaks Nursing & Rehabilitation Center, LLC|Central Management Company|LA|1|21|80|171166|203778492|'CENTRAL'|central|false
Wicks Roofing|Wicks Roofing|CA|1|21|96|198792|770418522|'Wicks Roofing'|wicks roofing|false
CertainTeed|CertainTeed|PA|1|21|65|117115|232510893|'CertainTeed'|certainteed|false
Revolution Company|Revolution Company|MN|1|21|75|157711||'Revolution Contractors'|revolution|false
Landmark Nursing and Rehabilitation|Central Management Company|LA|1|22|332|249307|721376173|'CENTRAL'|central|false
Ace Roofing LLC|Ace Roofing LLC|MT|1|21|30|57696|208967459|'ACE Roofing Services'|ace roofing|false
Central Roofing, LLC.|Central Roofing, LLC.|IL|1|21|53|103613|454310902|'Central Roofing'|central roofing|false
Nu-Tec Roofing Contractors|Nu-Tec Roofing Contractors LLC|IN|1|21|60|150632|352114307|'Nu-Tec Roofing Contractors'|nu-tec roofing|false
Platinum Roofing, LLC|Platinum Roofing, LLC|AR|1|21|76|110402|472769625|'Platinum Roofing'|platinum roofing|false
Skyline Roofing|Skyline Roofing|NH|1|1|18|24639|842129081|'Skyline Roofing Partners'|skyline roofing|false
Pioneer Roofing Co|Pioneer Roofing Co|AZ|1|21|33|60275|861037548|'Pioneer Roofing', 'Pioneer Roofing Systems'|pioneer roofing|true
Bone Dry Roofing Company|Bone Dry Roofing Company|SC|1|21|25|54107|861081716|'Bone Dry Roofing'|bone dry roofing|false
Bone Dry Roofing - Athens|Bone Dry Roofing|GA|1|21|42|97050|861081716|'Bone Dry Roofing'|bone dry roofing|false
Martin Roofing Company Inc.|Martin Roofing Company Inc.|CA|1|21|49|79872|952536694|'Martin Roofing Services'|martin roofing|false
Clark's Quality Roofing|Clark's Quality Roofing|UT|1|21|52|107772|870441650|'Clark's Quality Roofing'|clark's quality roofing|false
Adam Vaillancourt Roofing|Adam Vaillancourt Roofing|NH|1|21|30|40568|753184736|'Adam Vaillancourt Roofing'|adam vaillancourt roofing|false
Port Industries Inc|Port Industries Inc|MO|1|21|54|102682|340904575|'Port Enterprises'|port|false
Cornerstone Residence Senior Care|Cornerstone|MN|1|21|27|33272|611810761|'Cornerstone Construction'|cornerstone|false
Dynamic Systems INC|Dynamic Systems INC|NY|1|2|51|92056|274258481|'Dynamic National'|dynamic|false
CertainTeed|CertainTeed|MA|1|22|159|311484||'CertainTeed'|certainteed|false
CertainTeed|CertainTeed Corporation|MI|1|22|246|462960||'CertainTeed'|certainteed|false
Mueller Inc. (BMC)|Mueller Inc.|TX|1|3|342|751632|751964049|'Mueller'|mueller|false
Mueller Inc.|Mueller Inc.|TX|1|21|67|164960|751964049|'Mueller'|mueller|false
Mueller Inc (OMC)|Mueller Inc.|LA|1|21|38|185409|751964049|'Mueller'|mueller|false
Mueller Inc (Buckeye)|Mueller Inc.|AZ|1|21|25|51690|751964049|'Mueller'|mueller|false
Carolina Asphalt|Brothers National|NC|1|2|38|85084|873875709|'Brothers Services'|brothers|false
Dynamic National|Dynamic Holdings|FL|1|21|40|71929|832750109|'Dynamic National'|dynamic|false
Millwork & Panel LLC- Social Circle|CertainTeed LLC|GA|1|21|57|108443|320613145|'CertainTeed'|certainteed|false
Farrell Roofing, Inc.|Farrell Roofing, Inc.|DE|1|21|30|6414225|208890407|'Farrell Roofing'|farrell roofing|false
Collis Roofing, Inc.|Collis Roofing, Inc.|FL|1|3|180|383760|593511977|'Collis Roofing'|collis roofing|false
Plygem|Cornerstone|TN|1|3|274|590742|430799731|'Cornerstone Construction'|cornerstone|false
COASTAL ROOFING INC.|COASTAL ROOFING INC.|FL|1|21|62|111600|800624061|'Coastal Roofing Services'|coastal roofing|false
Massey Construction|Massey Construction|TN|1|2|41|89077|620803203|'Massey Construction Group'|massey|false
BRDOH- Cincinnati|Bone Dry Roofing, Inc|OH|1|1|18|29433|351883225|'Bone Dry Roofing'|bone dry roofing|false
BDROH- Columbus|Bone Dry Roofing, Inc|OH|1|1|8|13200|351883225|'Bone Dry Roofing'|bone dry roofing|false
BDROH- Dayton|Bone Dry Roofing, Inc|OH|1|1|6|10546|351883225|'Bone Dry Roofing'|bone dry roofing|false
BDRMI-Detroit|Bone Dry Roofing, Inc.|MI|1|1|12|7956|351883225|'Bone Dry Roofing'|bone dry roofing|false
BDRIN-Evansville|Bone Dry Roofing, Inc|IN|1|1|2|2160|351883225|'Bone Dry Roofing'|bone dry roofing|false
BDRIN-Ft Wayne|Bone Dry Roofing, Inc|IN|1|1|12|20420|351883225|'Bone Dry Roofing'|bone dry roofing|false
BDRKY-Lexington|Bone Dry Roofing, Inc|KY|1|1|19|37086|351883225|'Bone Dry Roofing'|bone dry roofing|false
BDRTN-Nashville|Bone Dry Roofing, Inc|TN|1|1|16|15254|351883225|'Bone Dry Roofing'|bone dry roofing|false
BDRMO-St Louis|Bone Dry Roofing, Inc|MO|1|1|19|37768|351883225|'Bone Dry Roofing'|bone dry roofing|false
CertainTeed LLC Oxford Glass Mat|CertainTeed LLC|NC|1|1|11|20813|232510893|'CertainTeed'|certainteed|false
City of Midland - Water Distribution|c|MI|3|21|18|35238|386004711|'C'|c|false
Nations Roof of Indiana LLC|Nations Roof|IN|1|21|24|51271|822431871|'Nations Roof'|nations roof|false
CertainTeed Jonesburg|CertainTeed|MO|1|2|157|314710|232510893|'CertainTeed'|certainteed|false
Tecta America|Tecta America|IL|1|21|106|216664|841505685|'Tecta America'|tecta america|false
Tecta America Southeast LLC|Tecta America|GA|1|21|81|164291|202141268|'Tecta America'|tecta america|false
