establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name
Harness Roofing TS|Harness Roofing, Inc.|OK|1|21|57|125628|710654212|'Harness Roofing Inc.'|harness roofing
Harness Roofing Corp|Harness Roofing, Inc.|AR|1|21|22|48488|710654212|'Harness Roofing Inc.'|harness roofing
Kleinfelder|Kleinfelder|CA|1|3|2249|4144044|941532513|'Kleinfelder, Inc'|kleinfelder
Nu-Tec Roofing Contractors|Nu-Tec Roofing Contractors LLC|IN|1|21|53|113791|352114307|'Nu-Tec Roofing Contractors LLC'|nu-tec roofing
Princeton|Smith Services|WV|1|21|79|161791|300756134|'Smith Group'|smith
Roofs, Inc.|Roofs, Inc.|IL|1|21|13|20265|362874756|'Roofs Inc.'|roofs
Owens Corning - Amarillo, TX|Owens Corning|TX|1|3|298|750196||'Owens Corning'|owens corning
The Haskell Company|The Haskell Company|FL|1|3|2444|4985136|592387450|'The Haskell Co.'|the haskell
4346-Bridgeton Hauling|Allied Services LLC|MO|1|3|291|704598|860897719|'Allied Construction Services'|allied
3243 - Cahokia HL|Allied Services LLC|IL|1|21|64|160462|860897719|'Allied Construction Services'|allied
TeamCraft Roofing, Inc.|TeamCraft Roofing, Inc.|NC|1|3|507|960887|561986226|'TeamCraft Roofing Inc.'|teamcraft roofing
The Brewer Company|The Brewer Company|WI|1|22|96|221219|391979518|'The Brewer Co.'|the brewer
M. Potteiger Inc.|M. Potteiger Inc.|PA|1|21|22|36354|231709914|'M. Potteiger Inc.'|m. potteiger
Nations Roof Gulf Coast, LLC|Nations Roof Gulf Coast, LLC|AL|1|21|25|53204|475521881|'Nations Roof Gulf Coast'|nations roof gulf coast
Alumni Roofing Lexington|Alumni Roofing Co.|OH|1|21|24|43699|341865113|'Alumni Roofing Company'|alumni roofing
Weathergard Inc|Weathergard Inc|NC|1|21|30|55852|561127157|'Weathergard Inc.'|weathergard
Atlanta Roofing Plant|Owens Corning|GA|1|2|126|280823||'Owens Corning'|owens corning
Atlanta Asphalt Plant|Owens Corning|GA|1|1|18|40817||'Owens Corning'|owens corning
Bone Dry Roofing - Athens|Bone Dry Roofing|GA|1|21|41|81785|861081716|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
Weathercraft, Inc.|Weathercraft, Inc.|MO|1|21|33|57995|431206531|'Weathercraft Inc.'|weathercraft
Macri Roofing, Inc.|Macri Roofing, Inc.|CT|1|21|30|51225|060887578|'Macri Roofing Inc.'|macri roofing
Sun Commercial Roofs, Inc.|Sun Commercial Roofs, Inc.|TX|1|22|103|215461|752214198|'Sun Commercial Roofs Inc.'|sun commercial roofs
Superior Roofing, Inc.|Superior Roofing, Inc.|CO|1|21|75|145926|840917537|'Superior Roofing Inc.', 'Superior Roofing LLC', 'Superior Roofing Services Inc.', 'Superior Roofing Systems Inc.'|superior roofing
AOC Tennessee Resins|Alpha Corporation|TN|1|2|59|124971|621576207|'Alpha Construction Services'|alpha
Professional Group Management Inc.|Professional Group Management Inc|FL|1|2|49|83704|650840982|'Professional Construction Services Inc.'|professional
Academy Roofing Inc.|Academy Roofing Inc.|CO|1|21|82|183367|840858941|'Academy Roofing Inc.'|academy roofing
J.L. Adler Roofing & Sheet Metal, Inc.|J.L. Adler Roofing & Sheet Metal, Inc.|IL|1|21|56|105687|362302162|'J.L. Adler Roofing & Sheet Metal Inc.'|j.l. adler roofing & sheet metal
CertainTeed Jonesburg|CertainTeed|MO|1|2|167|329128|232510893|'CertainTeed LLC'|certainteed
Anderson Construction Company of Fort Gaines|Anderson Construction Company|GA|1|2|80|105498|580974798|'Anderson Associates'|anderson
River Roofing Inc.|River Roofing Inc.|OR|1|2|39|92693|931046398|'River Roofing Inc.'|river roofing
EXCEL Maintenance @ Shintech, Freeport|EXCEL|TX|1|3|450|1187189|721503785|'Excel Construction Group'|excel
EXCEL Maintenance @ Westlake, Calvert City KY|EXCEL|KY|1|2|74|160200|721503785|'Excel Construction Group'|excel
D.R. Kidd Company Inc.|Kidd Roofing|TX|1|22|162|312947|742736561|'Kidd Roofing'|kidd roofing
EXCEL Maintenance @ Westlake, Geismar|EXCEL|LA|1|2|36|89586|721503785|'Excel Construction Group'|excel
EXCEL Maintenance @ Shintech, Addis|EXCEL|LA|1|2|117|248101|721503785|'Excel Construction Group'|excel
EXCEL Home Office|EXCEL|LA|1|2|84|132952||'Excel Construction Group'|excel
Watts & Associates Roofing Inc|Watts & Associates Roofing Inc|SC|1|21|25|54129|570636830|'Watts & Associates Roofing Inc.'|watts & associates roofing
Gustafson Industries Inc|Gustafson Industries Inc|FL|1|21|43|98920|592741607|'Gustafson Industries Inc.'|gustafson
Quality Roofing, Inc|Quality Roofing, Inc|FL|1|22|132|314494|900679536|'Quality Roofing', 'Quality Roofing Inc.', 'Quality Roofing Solutions', 'Quality Roofing Solutions LLC'|quality roofing
AC Hotel Liberty|Raymond Management Company|OH|1|21|44|69699|464064406|'Raymond Group'|raymond
Boise Hampton Inn & Suites|Raymond Management Company|ID|1|21|41|72947|272361884|'Raymond Group'|raymond
Chicago North Shore Hampton Inn & Suites|Raymond Management Company|IL|1|21|50|93759|452880754|'Raymond Group'|raymond
Forest Park Hampton Inn & Suites|Raymond Management Company|MO|1|21|31|51133|272361816|'Raymond Group'|raymond
Fort Worth Hilton Garden Inn|Raymond Management Company|TX|1|21|46|87824|472863145|'Raymond Group'|raymond
Homewood Suites Fort Worth Medical Center|Raymond Management Company|TX|1|21|29|45544|472836036|'Raymond Group'|raymond
Liberty Hampton Inn|Raymond Management Company|MO|1|21|25|44451|272361665|'Raymond Group'|raymond
Madison Downtown Hampton Inn & Suites|Raymond Management Company|WI|1|21|68|82987|472985777|'Raymond Group'|raymond
Raymond Management Company Madison Office|Raymond Management Company|WI|1|2|67|135911|391424051|'Raymond Group'|raymond
Milwaukee Hilton Garden Inn|Raymond Management Company|WI|1|21|55|81881|472801498|'Raymond Group'|raymond
Milwaukee Home2|Raymond Management Company|WI|1|21|30|44409|474888925|'Raymond Group'|raymond
O'Hare Hilton Garden Inn|Raymond Management Company|IL|1|21|85|165908|452880643|'Raymond Group'|raymond
Oklahoma City Hampton Inn & Suites|Raymond Management Company|OK|1|21|48|82686|272361602|'Raymond Group'|raymond
Oklahoma City Hilton Garden Inn|Raymond Management Company|OK|1|21|65|110773|272361602|'Raymond Group'|raymond
Rochester North Hampton Inn & Suites|Raymond Management Company|MN|1|21|32|50165|273705024|'Raymond Group'|raymond
Rogers Residence Inn|Raymond Management Company|AR|1|1|18|34587|272361516|'Raymond Group'|raymond
Rosemont Hampton Inn & Suites|Raymond Management Company|IL|1|21|46|79242|474229861|'Raymond Group'|raymond
SpringHill Suites The Woodlands|Raymond Management Company|TX|1|21|26|50962|472740275|'Raymond Group'|raymond
St Louis Hampton Inn|Raymond Management Company|MO|1|21|54|81630|273147179|'Raymond Group'|raymond
C.L. Linfoot Co|C.L. Linfoot Co|ND|1|2|66|134034||'C.L. Linfoot Co.'|c.l. linfoot
Williamsburg Office|Pyramid Roofing|VA|1|1|15|26415|161755493|'Pyramid Roofing Co. Inc.'|pyramid roofing
TWIN CITY ROOFING LLC|TWIN CITY ROOFING LLC|ND|1|21|23|38942||'Twin City Roofing LLC'|twin city roofing
Hillside 1|Dynamic Manufacturing|IL|1|3|601|1178130|363989759|'Dynamic National'|dynamic
Hillside 2|Dynamic Manufacturing|IL|1|3|347|662121|363989759|'Dynamic National'|dynamic
Dixie Roofing, Inc. - LaFollette|Dixie Roofing, Inc.|TN|1|22|135|340794|621136030|'Dixie Roofing Inc.'|dixie roofing
Dixie Roofing, Inc. - Powell|Dixie Roofing, Inc.|TN|1|22|65|172663|621136030|'Dixie Roofing Inc.'|dixie roofing
Hampton Office|Pyramid Roofing|VA|1|1|14|24654|161755493|'Pyramid Roofing Co. Inc.'|pyramid roofing
The Bri-Den Co.|The Bri-Den Co.|KY|1|21|35|60750|825212554|'The Bri-Den Co. Inc.'|the bri-den
Russell Roofing Company Inc.|Russell Roofing Inc.|PA|1|21|32|67157|232680214|'Russell Roofing Co. Inc.'|russell roofing
Excel Contractors at CF Industries|Excel Contractors|LA|1|3|117|141678||'Excel Construction Group'|excel
1100|CentiMark Corporation|CT|1|21|59|91156|251194990|'CentiMark Corporation'|centimark
1400|CentiMark Corporation|PA|1|21|82|112021|251194990|'CentiMark Corporation'|centimark
1500|CentiMark Corporation|VA|1|21|61|101572|251194990|'CentiMark Corporation'|centimark
1800|CentiMark Corporation|MA|1|21|71|115498|251194990|'CentiMark Corporation'|centimark
Kalkreuth Roofing & Sheet Metal, Inc.|Kalkreuth Roofing & Sheet Metal, Inc.|WV|1|22|180|348252|550647319|'Kalkreuth Roofing & Sheet Metal Inc.'|kalkreuth roofing & sheet metal
1900|CentiMark Corporation|NJ|1|21|86|149847|251194990|'CentiMark Corporation'|centimark
2100|CentiMark Corporation|OH|1|21|45|47864|251194990|'CentiMark Corporation'|centimark
2200|CentiMark Corporation|OH|1|21|34|54360|251194990|'CentiMark Corporation'|centimark
2210|CentiMark Corporation|IN|1|21|60|53098|251194990|'CentiMark Corporation'|centimark
Silktown Roofing, Inc./Manchester CT|Silktown Roofing, Inc.|CT|1|21|80|163934|061350674|'Silktown Roofing Inc.'|silktown roofing
2220|CentiMark Corporation|OH|1|21|37|73964|251194990|'CentiMark Corporation'|centimark
2250|CentiMark Corporation|IN|1|21|45|83020|251194990|'CentiMark Corporation'|centimark
2300|CentiMark Corporation|MI|1|21|28|44752|251194990|'CentiMark Corporation'|centimark
2400|CentiMark Corporation|MI|1|21|31|50078|251194990|'CentiMark Corporation'|centimark
2600|CentiMark Corporation|IL|1|21|65|105946|251194990|'CentiMark Corporation'|centimark
Silktown Roofing, Inc./Derby CT|Silktown Roofing, Inc.|CT|1|21|40|93486|061350674|'Silktown Roofing Inc.'|silktown roofing
2630|CentiMark Corporation|IA|1|1|17|27468|251194990|'CentiMark Corporation'|centimark
2650|CentiMark Corporation|WI|1|21|28|49036|251194990|'CentiMark Corporation'|centimark
Springfield Office|Titan Roofing, Inc.|MA|1|22|85|169038|042630303|'Titan Roofing'|titan roofing
Silktown Roofing, Inc.-North/Douglas, MA|Silktown Roofing, Inc.|MA|1|21|25|31324|061350674|'Silktown Roofing Inc.'|silktown roofing
2700|CentiMark Corporation|KS|1|21|52|71330|251194990|'CentiMark Corporation'|centimark
2701|CentiMark Corporation|NE|1|21|33|54625|251194990|'CentiMark Corporation'|centimark
Webster|Titan Roofing, Inc.|MA|1|1|3|7544|042630303|'Titan Roofing'|titan roofing
2800|CentiMark Corporation|MO|1|21|34|55088|251194990|'CentiMark Corporation'|centimark
New Haven Office|Titan Roofing, Inc.|CT|1|1|9|13864|042630303|'Titan Roofing'|titan roofing
Syracuse Office|Titan Roofing, Inc.|NY|1|21|24|47935|042630303|'Titan Roofing'|titan roofing
2900|CentiMark Corporation|PA|1|21|53|76629|251194990|'CentiMark Corporation'|centimark
2910|CentiMark Corporation|NY|1|21|36|55404|251194990|'CentiMark Corporation'|centimark
3450|CentiMark Corporation|TN|1|21|57|106486|251194990|'CentiMark Corporation'|centimark
3600|CentiMark Corporation|TX|1|21|91|130988|251194990|'CentiMark Corporation'|centimark
3610|CentiMark Corporation|TX|1|21|82|163964|251194990|'CentiMark Corporation'|centimark
4100|CentiMark Corporation|GA|1|21|88|142641|251194990|'CentiMark Corporation'|centimark
4110|CentiMark Corporation|AL|1|21|60|129060|251194990|'CentiMark Corporation'|centimark
4210|CentiMark Corporation|NC|1|21|65|134467|251194990|'CentiMark Corporation'|centimark
4300|CentiMark Corporation|NC|1|22|117|270054|251194990|'CentiMark Corporation'|centimark
4400|CentiMark Corporation|TN|1|21|29|59295|251194990|'CentiMark Corporation'|centimark
Haeber Roofing Company|Haeber Roofing Company|TX|1|21|38|80760|741995512|'Haeber Roofing'|haeber roofing
4750|CentiMark Corporation|FL|1|21|53|85960|251194990|'CentiMark Corporation'|centimark
4800|CentiMark Corporation|FL|1|21|58|64867|251194990|'CentiMark Corporation'|centimark
5110|CentiMark Corporation|ID|1|21|45|64867|251194990|'CentiMark Corporation'|centimark
Central States Roofing|Central States Roofing|IA|1|21|54|97501|420939475|'Central States Roofing Co.'|central states roofing
5310|CentiMark Corporation|OR|1|2|37|57364|251194990|'CentiMark Corporation'|centimark
Rain King, Inc.|Rain King, Inc.|TX|1|21|72|140571|742775327|'Rain King Inc.'|rain king
5350|CentiMark Corporation|AZ|1|22|72|117728|251194990|'CentiMark Corporation'|centimark
5400|CentiMark Corporation|CO|1|21|53|70598|251194990|'CentiMark Corporation'|centimark
American Roofing & Metal Louisville|American Roofing & Metal|KY|1|22|278|526470|610192077|'American Roofing & Metal Co. Inc.'|american roofing & metal
