id,establishment_name,establishment_id,ein,company_name,street_address,city,state,zip_code,naics_code,naics_year,industry_description,establishment_type,size,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_skin_disorders,total_respiratory_conditions,total_poisonings,total_hearing_loss,total_other_illnesses,created_timestamp,change_reason,year_filing_for,sector,zipcode,naics_char
2857734,Royal-West Roofing & Sheet Metal,165505,,Royal-West Roofing & Sheet Metal,51 Summit Street,Brighton,MI,48116,238160,2012,Roofing contractors,1,1,15,23996,2,0,0,0,0,0,0,0,0,0,0,0,0,04MAR25:14:02:00,,2024,Construction,48116,238160
2859202,Performance Roofing Systems,165577,391698070,"Performance Roofing Systems, Inc.",3830 Pioneer Road,Richfield,WI,53076,238160,2012,Roofing contractors,1,21,35,70301,2,0,0,0,0,0,0,0,0,0,0,0,0,04MAR25:20:06:00,,2024,Construction,53076,238160
2627718,Pearce,165695,200894682,Pearce-Blackburn Roofing,309 Blue Sky Parkway,LEXINGTON,KY,40509,238160,2012,Roofing contractors,1,21,27,52399,1,0,0,0,1,0,0,1,0,0,0,0,0,07FEB25:15:11:00,,2024,Construction,40509,238160
2666063,River Roofing Inc.,168710,931046398,River Roofing Inc.,1484 S B St,Springfield,OR,97477,238160,2012,Roofing contractors,1,2,39,92693,1,0,5,3,1,188,160,9,0,0,0,0,0,13FEB25:21:32:00,,2024,Construction,97477,238160
2588711,"Allied Roofing Company, Inc.",170283,562164362,"Allied Roofing Company, Inc.",744 Park Centre Drive,Kernersville,NC,27284,238160,2012,Low slope roofing installation,1,21,46,97785,1,0,1,2,3,1,108,5,0,0,0,0,1,30JAN25:20:34:00,,2024,Construction,27284,238160
2588727,"Triad Roofing Company, Inc.",170328,561649223,"Triad Roofing Company, Inc.",3920 North Liberty Street,Winston-Salem,NC,27105,238160,2012,Low slope roofing installation,1,21,51,114225,1,0,1,5,1,11,245,7,0,0,0,0,0,30JAN25:20:35:00,,2024,Construction,27105,238160
2588768,"CityScape Roofing, Inc.",170358,200880458,"CityScape Roofing, Inc.",5384 Bolick Road,Claremont,NC,28610,238160,2012,Roofing contractors,1,1,19,40573,1,0,0,0,3,0,0,3,0,0,0,0,0,30JAN25:20:37:00,,2024,Construction,28610,238160
2588595,"Reliance Roofing and Waterproofing, Inc.",170365,462992114,"Reliance Roofing and Waterproofing, Inc.",10379 Central Park Drive,Manassas,VA,20110,238160,2012,Low slope roofing installation,1,21,35,64448,1,0,0,1,1,0,5,2,0,0,0,0,0,30JAN25:20:30:00,,2024,Construction,20110,238160
2572164,D.R. Kidd Company Inc.,170479,742736561,Kidd Roofing,"1212 E. Anderson Ln, suite 200",Austin,TX,78752,238160,2012,Roofing contractors,1,22,162,312947,1,0,0,0,2,0,0,2,0,0,0,0,0,28JAN25:20:21:00,,2024,Construction,78752,238160
2624608,"Freeport Industrial Roofing, Inc.",170679,363045431,,3507 IL Route 26 South,Freeport,IL,61032,238160,2012,Roofing contractors,1,21,23,36197,1,0,0,0,2,0,0,2,0,0,0,0,0,06FEB25:18:14:00,,2024,Construction,61032,238160
