company_name|osha_company_name|annual_average_employees|total_hours_worked|ein|stripped_company_name|pitchbook_list_company_name|pitchbook_list_website|top100_company_name|nrca_list_company_name
Active Roofing, LLC|Active Roofing, LLC|44|60175|873402093|active roofing|Active Roofing|www.activeroofing.com||Active Roofing Co. Inc.
Adam Roe Painting, Inc.|Adam Roe Painting, Inc.|34|47123|820445312|adam roe painting||||
Advanced Industrial Roofing, Inc.|Advanced Industrial Roofing, Inc.|60|99928||advanced industrial roofing||||Advanced Industrial Roofing Inc.
Advanced Roofing Inc|Advanced Roofing Inc|721|1441112|592360591|advanced roofing|Advanced Roofing Services (Northampton)|advancedroofing-northampton.co.uk|Advanced Roofing, Inc.|Advanced Roofing Systems Ltd.
Advantage Roofing & Exteriors|Advantage Roofing & Exteriors|32|69844|383507495|advantage roofing & exteriors||||
Advantage USAA, Inc|Advantage USAA, Inc|11|22880|742950238|advantage usaa||||Advantage USAA Inc.
Advocate Construction inc|Advocate Construction inc|259|496197|461290497|advocate|Advocate Construction|www.advocateconstruction.com|Advocate Construction|Advocate Construction
Aetna Roofing Corp|Aetna Roofing Corp|88|169167|221860177|aetna roofing||||
Ajl Group LLC|Ajl Group LLC|10|18720||ajl||||AJL Group
Alcal Specialty Conntracting, Inc|Alcal Specialty Conntracting, Inc|46|66271|680526024|alcal specialty conntracting||||
Alcal Specialty Contracting, Inc|Alcal Specialty Contracting, Inc|166|271724|680526024|alcal specialty contracting||||
Alex Roofing Co., Inc.|Alex Roofing Co., Inc.|13|18285|251358277|alex roofing||||
All American Commercial Roofing Inc.  dba All American Exterior Solutions|All American Commercial Roofing Inc.  dba All American Exterior Solutions|106|172028|364338072|all american commercial roofing inc. dba all american exterior||||
All American Roofing & Coating of Florida, Inc.|All American Roofing & Coating of Florida, Inc.|22|41825|453797880|all american roofing & coating of florida||||
All American Roofing Inc. dba All American Exterior Solutions|All American Roofing Inc. dba All American Exterior Solutions|8|10423|363422277|all american roofing inc. dba all american exterior||||
All Pro Construction Services, Inc.|All Pro Construction Services, Inc.|41|66099|352466754|all pro||||
All Roofs of Florida, Inc.|All Roofs of Florida, Inc.|20|30444|843266657|all roofs of florida||||
All Seasons Roofing, LLC|All Seasons Roofing, LLC|20|41137|204885966|all seasons roofing|All Seasons Roofing Services|unknown||All Seasons Roofing LLC
All Star Roofing, Inc.|All Star Roofing, Inc.|10|20750|112892662|all star roofing||||All Star Roofing Inc.
All-South Subcontractors, Inc.|All-South Subcontractors, Inc.|87|170015||all-south subcontractors|||All-South Subcontractors, Inc.|All-South Subcontractors, Inc.
Allen Roofing & Siding, LLC.|Allen Roofing & Siding, LLC.|100|159495|881581570|allen roofing & siding|Allen Roofing & Siding|www.aroofing.net||Allen Roofing & Siding
Allied Roofing Inc.|Allied Roofing Inc.|40|69095|592690416|allied roofing|Allied Roofing, Inc.|alliedroofinc.com||Allied Roofing Inc.
Allweather Roof|Allweather Roof|84|164902|411536214|allweather roof||||Allweather Roof
Almost Heaven Building Company|Almost Heaven Building Company|9|14027|870875496|almost heaven building||||
Alpine Roofing LTD.|Alpine Roofing LTD.|34|69637|832540987|alpine roofing|Alpine Roofing (Commercial Services)|www.alpineroofing.net||
Altres Inc. COMMERCIAL ROOFING   WATERPROOFING HAWAI|Altres Inc. COMMERCIAL ROOFING   WATERPROOFING HAWAI|100|216537|990302463|altres inc. commercial roofing waterproofing hawai||||
Alumni Roofing Co.|Alumni Roofing Co.|24|43699|341865113|alumni roofing||||Alumni Roofing Company
Alva Roofing Co.|Alva Roofing Co.|48|93149|731006735|alva roofing||||Alva Roofing Co.
