company_name|osha_company_name|annual_average_employees|total_hours_worked|ein|stripped_company_name|pitchbook_list_company_name|pitchbook_list_website|top100_company_name|nrca_list_company_name
Ketcher & Company, Inc.|Ketcher & Company, Inc.|53|73921||ketcher||||Ketcher & Co. Inc.
Kidd Roofing|Kidd Roofing|162|312947|742736561|kidd roofing|Kidd Roofing|www.kiddroof.com|Kidd Roofing|Kidd Roofing
King of Texas Roofing|King of Texas Roofing|67|118250|752969578|king of texas roofing||||King of Texas Roofing Company LP
King-Lar Roofing Inc|King-Lar Roofing Inc|4|4653|200725267|king-lar roofing||||
Kingdom Roofing Services, Inc.|Kingdom Roofing Services, Inc.|34|74760|821072300|kingdom roofing|Kingdom Roofing Systems|www.kingdomroofingsystems.com||
Kirberg Company-Kansas City|Kirberg Company-Kansas City|14|23622|431024686|kirberg company-kansas city||||
Kirberg Company-Springfield|Kirberg Company-Springfield|24|41904|431024686|kirberg company-springfield||||
Kirberg Company-St. Louis|Kirberg Company-St. Louis|48|80462|431024686|kirberg company-st. louis||||
Kirberg Roofing Inc dba Kirberg Company|Kirberg Roofing Inc dba Kirberg Company|86|145988|431024686|kirberg roofing inc dba kirberg||||
Kirkey Roofing Inc.|Kirkey Roofing Inc.|46|104907|203325585|kirkey roofing||||
Kirtley Roofing and Sheet Metal, LLC|Kirtley Roofing and Sheet Metal, LLC|71|105871|461305282|kirtley roofing & sheet metal||||Kirtley Roofing & Sheet Metal LLC
Klein Contracting|Klein Contracting|48|94290|581848504|klein contracting||||Klein Contracting Corp.
Knickerbocker Roofing & Paving Co., Inc.|Knickerbocker Roofing & Paving Co., Inc.|63|118497|362391016|knickerbocker roofing & paving||||Knickerbocker Roofing and Paving Co. Inc.
Knickerbocker Sheet Metal Co., Inc.|Knickerbocker Sheet Metal Co., Inc.|11|23013|362391015|knickerbocker sheet metal||||
Korellis|Korellis|155|305046|351506330|korellis||||Korellis
Kovach Enclosure Systems|Kovach Enclosure Systems|314|601560|842979254|kovach enclosure||||
Kreiling Roofing Co|Kreiling Roofing Co|93|156631|371151409|kreiling roofing||||Kreiling Roofing Co.
Kudu Roofing, LLC|Kudu Roofing, LLC|24|45382|203031904|kudu roofing||||
Kulp's of Stratford|Kulp's of Stratford|39|69659|391915695|kulp's of stratford||||Kulp's of Stratford LLC
L.H. Krueger and Son, Inc.|L.H. Krueger and Son, Inc.|30|53500|391377423|l.h. krueger & son||||
LARRY L VAUGHT ROOFING INC|LARRY L VAUGHT ROOFING INC|17|30650|430962027|larry l vaught roofing||||
LAST CALL ROOFING INC|LAST CALL ROOFING INC|29|31155|933456140|last call roofing||||
LBK Roofing|LBK Roofing|31|64480|820782705|lbk roofing||||
LEAK BUSTERS ROOF REPAIRS LLC|LEAK BUSTERS ROOF REPAIRS LLC|34|43118|811242426|leak busters roof repairs||||
LOW-SLOPE SOLUTIONS, LLC|LOW-SLOPE SOLUTIONS, LLC|33|47959|272120663|low-slope||||
LaFerney, Inc|LaFerney, Inc|26|48567|621004312|laferney||||
Lake Area Roofing & Construction, Inc.|Lake Area Roofing & Construction, Inc.|21|30110|710888717|lake area roofing||||Lake Area Roofing and Construction Inc.
Lake City Power Wash & Roofing Inc.|Lake City Power Wash & Roofing Inc.|25|52000|820507245|lake city power wash & roofing||||
Lakeside Roofing Co., Inc.|Lakeside Roofing Co., Inc.|49|79413|370952770|lakeside roofing|Lakeside Roofing Company (Commercial services)|www.lakesideroofingco.com||Lakeside Roofing Solutions
Lallier Construction, Inc.|Lallier Construction, Inc.|54|93818|841313776|lallier||||
Landmark Exteriors, Inc.|Landmark Exteriors, Inc.|45|102088|061450777|landmark exteriors||||
Laraway Roofing, Inc.|Laraway Roofing, Inc.|9|16690|410986127|laraway roofing||||Laraway Roofing Inc.
Latite Roofing & Sheet Metal, LLC|Latite Roofing & Sheet Metal, LLC|307|712849|208965748|latite roofing & sheet metal|Latite Roofing and Sheet Metal|www.latite.com||
Ledegar Roofing Cpomapny Inc|Ledegar Roofing Cpomapny Inc|30|77352|391853930|ledegar roofing cpomapny||||
Legacy Contracting Solutions|Legacy Contracting Solutions|49|39850|202247660|legacy contracting||||
Legacy Restoration, LLC|Legacy Restoration, LLC|19|39520|352433040|legacy restoration||||
Legacy Roofing Services, LLC|Legacy Roofing Services, LLC|123|244711|842210872|legacy roofing|Legacy Roofing (Commercial Services)|www.legacyoregon.com||Legacy Roofing LLC
Legacy Service USA, LLC|Legacy Service USA, LLC|19|39520|454157378|legacy service usa||||
Lehman Roofing, Inc|Lehman Roofing, Inc|27|57199||lehman roofing||||
Lifetime Quality Roofing Cincinnati, LLC|Lifetime Quality Roofing Cincinnati, LLC|22|41744|880558712|lifetime quality roofing cincinnati||||
Lifetime Quality Roofing Cleveland, LLC|Lifetime Quality Roofing Cleveland, LLC|26|49040|922762726|lifetime quality roofing cleveland||||
Lifetime Quality Roofing and Storm Restoration, LLC|Lifetime Quality Roofing and Storm Restoration, LLC|106|208296|474451508|lifetime quality roofing & storm restoration||||
Lindholm Construction Inc.|Lindholm Construction Inc.|50|131384|261795938|lindholm||||
Lindy Roofing Company INC.|Lindy Roofing Company INC.|20|750|770417515|lindy roofing||||
Lloyd Roofing Company, Inc.|Lloyd Roofing Company, Inc.|68|154738|570370176|lloyd roofing|Lloyd Roofing Company|lloydroofing.com|Lloyd Roofing|Lloyd Roofing Co. Inc.
Local Roofs LLC|Local Roofs LLC|21|166400|882982443|local roofs||||
Lock Roofing PLLC|Lock Roofing PLLC|30|31442|862463057|lock roofing||||
Long Life Roofing Co.|Long Life Roofing Co.|17|27315|391589187|long life roofing||||
Lowe Roofing of Wyoming LLC|Lowe Roofing of Wyoming LLC|21|42503|463060731|lowe roofing of wyoming||||
Lundin Roofing Company, LLC|Lundin Roofing Company, LLC|31|58188||lundin roofing||||Lundin Roofing Co. LLC
Lutz Roofing|Lutz Roofing|213|301698||lutz roofing||||Lutz Roofing Co. Inc.
Lydick-Hooks Roofing Co. of Lubbock, Inc.|Lydick-Hooks Roofing Co. of Lubbock, Inc.|30|58901|750405113|lydick-hooks roofing co. of lubbock||||Lydick-Hooks Roofing Co. of Lubbock Inc.
Lydick-Hooks Roofing Co. of Wichita Falls, Inc.|Lydick-Hooks Roofing Co. of Wichita Falls, Inc.|24|50924|751492477|lydick-hooks roofing co. of wichita falls||||
Lyons Roofing|Lyons Roofing|76|158355|932571840|lyons roofing||||
M Cannon Roofing Co., LLC|M Cannon Roofing Co., LLC|31|42447|680552376|m cannon roofing||||
M. Potteiger Inc.|M. Potteiger Inc.|22|36354|231709914|m. potteiger||||M. Potteiger Inc.
M. W. Tighe Roofing, Inc.|M. W. Tighe Roofing, Inc.|17|28971||m. w. tighe roofing||||
M.W. Johnson Enterprises LLC|M.W. Johnson Enterprises LLC|30|6240|462288016|m.w. johnson||||
M.W. Morss, Inc.|M.W. Morss, Inc.|19|33528|382512455|m.w. morss||||
MAC JOHNSON ROOFING, INC.|MAC JOHNSON ROOFING, INC.|38|65426|593528378|mac johnson roofing||||
MAUNA KEA ROOFING, LLC|MAUNA KEA ROOFING, LLC|25|43500|471343883|mauna kea roofing||||
MAXIM ROOFING COMPANY, LLC|MAXIM ROOFING COMPANY, LLC|31|50570|454993067|maxim roofing||||Maxim Roofing Co.
MCCREARY ROOFING CO., INC.|MCCREARY ROOFING CO., INC.|63|115047|250985137|mccreary roofing||||
MCM ROOFING COMPANY INC.|MCM ROOFING COMPANY INC.|35|48820|205245857|mcm roofing||||
MD Roofing, Inc|MD Roofing, Inc|12|17875|651032411|md roofing||||
MOUNTAIN VIEW SOLAR AND WIND, LLC|MOUNTAIN VIEW SOLAR AND WIND, LLC|101|84618|270789363|mountain view solar & wind||||
MRC Roofing, LLC|MRC Roofing, LLC|32|53469|274488625|mrc roofing||||MRC Roofing LLC
MUHS UNLIMITED, INC.|MUHS UNLIMITED, INC.|34|58094|452756722|muhs unlimited||||
Macri Roofing, Inc.|Macri Roofing, Inc.|30|51225|060887578|macri roofing||||Macri Roofing Inc.
Maggio Roofing|Maggio Roofing|15|36110|521821225|maggio roofing||||
Mahan Slate Roofing Co., Inc.|Mahan Slate Roofing Co., Inc.|24|50944||mahan slate roofing||||Mahan Slate Roofing Co. Inc.
Maly Roofing Company|Maly Roofing Company|31|44498|391619881|maly roofing||||Maly Roofing Company Inc.
Mammoth Contracting LLC|Mammoth Contracting LLC|15|31200|815179460|mammoth contracting||||Mammoth Contracting
Mandal's Inc.|Mandal's Inc.|71|152877||mandal's||||Mandal's Inc.
Manheim Dellovade LLC|Manheim Dellovade LLC|29|51608|881372994|manheim dellovade||||
Manson Roofing, Inc.|Manson Roofing, Inc.|32|590920|591799056|manson roofing||||Manson Roofing Inc.
Marcor Construction, Inc.|Marcor Construction, Inc.|55|70035|262315970|marcor||||
Maria Diem Corp|Maria Diem Corp|18|31491|923208229|maria diem||||
Martin Roofing Company Inc.|Martin Roofing Company Inc.|54|83076|952536694|martin roofing|Martin Roofing Services|www.martinroofingservices.com||Martin Roofing Services Inc.
Massey Contracting LLC|Massey Contracting LLC|60|130000|843518481|massey contracting||||
Mast Roofing & Construction, Inc.|Mast Roofing & Construction, Inc.|26|47295|202034518|mast roofing||||
Master Roofing Solutions LLC|Master Roofing Solutions LLC|400|214033|992804740|master roofing|Master Roofing Services|masterroofingservices.com||Master Roofing Solutions
Maxwell Roofing & Sheet Metal, Inc|Maxwell Roofing & Sheet Metal, Inc|97|133718|620695385|maxwell roofing & sheet metal||||Maxwell Roofing & Sheet Metal Inc.
Maxxim Construction and Roofing, LLC|Maxxim Construction and Roofing, LLC|16|67518|844424968|maxxim construction & roofing||||
McDermaid Roofing and Insulating Co.|McDermaid Roofing and Insulating Co.|42|67366|361561570|mcdermaid roofing & insulating||||
McDonnell Roofing Inc|McDonnell Roofing Inc|47|41933|330992075|mcdonnell roofing||||McDonnell Roofing Inc.
McEnany Roofing, Inc|McEnany Roofing, Inc|110|224524|592583665|mcenany roofing|Mcenany Roofing|mcenany.com|McEnany Roofing, Inc.|McEnany Roofing Inc.
McLaughlin|McLaughlin|50|71243|770260894|mclaughlin||||
McPhillips Bros. Roofing Co|McPhillips Bros. Roofing Co|40|48959|411521988|mcphillips bros. roofing||||McPhillips Bros. Roofing Co.
Meade Construction|Meade Construction|28|48599|311645427|meade||||
Medford Roofing, Inc.|Medford Roofing, Inc.|18|33923|273343484|medford roofing||||
Melvin T. Morgan Roofing|Melvin T. Morgan Roofing|6|8515|541444349|melvin t. morgan roofing||||
Memphis, TN|Memphis, TN|11|20738|832750109|memphis tn||||
Merit Contracting|Merit Contracting|76|130093|411426936|merit contracting||||Merit Contracting Inc.
Metal Alliance, Inc.|Metal Alliance, Inc.|29|56008|232749020|metal alliance||||Metal Alliance, Inc.
Metal Roof Contractors, Inc.|Metal Roof Contractors, Inc.|42|87856|731531856|metal roof||||
Metalcrafts. A Tecta America Company|Metalcrafts. A Tecta America Company|35|67212|580826463|metalcrafts. a tecta america||||
Metalmaster Roofmaster|Metalmaster Roofmaster|99|205920|363376644|metalmaster roofmaster|||Metalmaster Roofmaster, Inc.|Metalmaster Roofmaster Inc.
Metro Property Services Inc|Metro Property Services Inc|25|45369|593069064|metro property||||
Metropolitan Construction Systems, Inc.|Metropolitan Construction Systems, Inc.|55|106928|300270643|metropolitan||||
Michael J Bollinger Co Inc. dba Bollinger Bros Roofing Contractors|Michael J Bollinger Co Inc. dba Bollinger Bros Roofing Contractors|33|59621|520969693|michael j bollinger co inc. dba bollinger bros roofing||||
Mid-South Roof Systems|Mid-South Roof Systems|206|505276|581876904|mid-south roof||||Mid-South Roof Systems
Mid-State Industries, Ltd|Mid-State Industries, Ltd|45|75356|141542080|mid-state||||
Mid-State Roofing and Coating Inc.|Mid-State Roofing and Coating Inc.|102|127961|392050264|mid-state roofing & coating||||Mid-State Roofing and Coating Inc.
Midland Engineering Company, Inc.|Midland Engineering Company, Inc.|229|286198|350152415|midland engineering||||Midland Engineering Co. Inc.
Midwest Coating, Inc.|Midwest Coating, Inc.|37|93597|480896503|midwest coating||||Midwest Coating Inc.
Midwest Roofing-Sheet Metal|Midwest Roofing-Sheet Metal|95|197728||midwest roofing-sheet metal||||
Mikalan Roofing, Inc|Mikalan Roofing, Inc|41|100605|382674462|mikalan roofing||||
Mile Square Roofing Co,. Inc.|Mile Square Roofing Co,. Inc.|114|246837|222623778|mile square roofing||||Mile Square Roofing Co. Inc.
Miles Roofing, Inc.|Miles Roofing, Inc.|6|7569|541131978|miles roofing||||
Miller Painting Company, Inc.|Miller Painting Company, Inc.|40|75023|580979409|miller painting||||
Mint Roofing|Mint Roofing|55|107753|810389786|mint roofing||||Mint Roofing Inc.
Missouri Builders Service, Inc|Missouri Builders Service, Inc|142|233461|431532256|missouri builders service||||
Modern Roofing, Inc.|Modern Roofing, Inc.|65|104974|382184928|modern roofing|Modern Roofing|modernroofing.com||Modern Roofing LLC
Molloy Roofing Company|Molloy Roofing Company|44|87029|310787317|molloy roofing||||Molloy Roofing Co.
Momentum Builders Inc|Momentum Builders Inc|15|31152|251413147|momentum builders||||Momentum Builders Inc.
Monarch Company LLC|Monarch Company LLC|50|142941|263659887|monarch||||Monarch Consulting Services
Monarch Roofing of Hilton Head|Monarch Roofing of Hilton Head|15|30664|830821020|monarch roofing of hilton head||||
Monarch Roofing of Wilmington, Inc|Monarch Roofing of Wilmington, Inc|15|41302|824819357|monarch roofing of wilmington||||
More Consulting Corp.|More Consulting Corp.|35|3541931|261923534|more||||
Moriarty's Roofing, Inc.|Moriarty's Roofing, Inc.|32|64514|474961412|moriarty's roofing||||Moriarty's Roofing, Inc.
Morristown Roofing Company, Inc.|Morristown Roofing Company, Inc.|38|89563|621046724|morristown roofing||||
Moser Roofing Solutions, LLC|Moser Roofing Solutions, LLC|34|74460|465718021|moser roofing||||Moser Roofing Solutions LLC
Mountain States Roofing, Incorporated|Mountain States Roofing, Incorporated|37|46742|261702268|mountain states roofing||||Mountain States Roofing Inc.
Mr G Guarantee Roofing Corp|Mr G Guarantee Roofing Corp|33|35503|460699206|mr g guarantee roofing||||
Music City Roofers, LLC|Music City Roofers, LLC|25|47572|460757455|music city roofers||||
Muth & Company Roofing, Inc.|Muth & Company Roofing, Inc.|24|41593|223887745|muth & company roofing||||
N.F. Mansuetto & Sons, Inc.|N.F. Mansuetto & Sons, Inc.|70|130259|550483513|n.f. mansuetto & sons||||N.F. Mansuetto & Sons Inc.
NATIONS ROOF CENTRAL LLC|NATIONS ROOF CENTRAL LLC|38|79261|260137335|nations roof central||||
NEW CENTURY ROOFING, LLC|NEW CENTURY ROOFING, LLC|20|238160|451564913|new century roofing||||
NEW ENGLAND MASONRY & ROOFING CO.|NEW ENGLAND MASONRY & ROOFING CO.|43|76925|060811146|new england masonry & roofing||||New England Masonry & Roofing
NULL|NULL|25|50901|020232174|null||||
NW Umpqua Roofing & Waterproofing Inc|NW Umpqua Roofing & Waterproofing Inc|25|40716|881039888|nw umpqua roofing & waterproofing||||
Nason Roofing inc.|Nason Roofing inc.|20|45217|821567036|nason roofing||||
Nations Roof|Nations Roof|71|151350|205762830, 822431871|nations roof|Nations Roof|www.nationsroof.com||Nations Roof LLC
Nations Roof East, LLC|Nations Roof East, LLC|65|136310|342018017|nations roof east||||
Nations Roof Gulf Coast, LLC|Nations Roof Gulf Coast, LLC|25|53204|475521881|nations roof gulf coast||||Nations Roof Gulf Coast
Nations Roof Mountain, LLC|Nations Roof Mountain, LLC|40|84051|472068634|nations roof mountain||||
Nations Roof North, LLC|Nations Roof North, LLC|99|205753|260887334|nations roof north||||
Nations Roof South, LLC|Nations Roof South, LLC|30|63039|208076931|nations roof south||||
Nations Roof West, LLC|Nations Roof West, LLC|80|167351|812667009|nations roof west||||
Nations Roof of Carolina, LLC|Nations Roof of Carolina, LLC|43|88688|581952382|nations roof of carolina||||Nations Roof of Carolina
Nations Roof of New England, LLC|Nations Roof of New England, LLC|75|155485|260584774|nations roof of new england||||
Nations Roof of Ohio LLC|Nations Roof of Ohio LLC|72|150268|205656064|nations roof of ohio||||
Nations Roof of Oregon, LLC|Nations Roof of Oregon, LLC|25|51791|812697399|nations roof of oregon||||Nations Roof of Oregon LLC
Nations Roof of Pennsylvania, LLC|Nations Roof of Pennsylvania, LLC|17|36945|843983957|nations roof of pennsylvania||||
Natiosn Roof Sunshine State LLC|Natiosn Roof Sunshine State LLC|144|301214|815280112|natiosn roof sunshine state||||
Neighborhood Insulation Co., Inc.|Neighborhood Insulation Co., Inc.|17|34681|383295676|neighborhood insulation||||
Nettles Construction Solutions, Inc.|Nettles Construction Solutions, Inc.|88|152586|481042732|nettles||||
Neumann Construction and Roofing LLC|Neumann Construction and Roofing LLC|45|94593|591819167|neumann construction & roofing||||
Newton Crane Roofing, Inc.|Newton Crane Roofing, Inc.|38|54683|371425932|newton crane roofing||||
Nine Square Roofing and Construction LLC|Nine Square Roofing and Construction LLC|13|24375|453963094|nine square roofing||||
Nitro Roofing and Construction LLC|Nitro Roofing and Construction LLC|30|49470|451562156|nitro roofing|Nitro Roofing and Construction|nitroroofing.com||
Noble Pride Roofing Company Inc.|Noble Pride Roofing Company Inc.|15|25218|542186604|noble pride roofing||||Noble Pride Roofing
Noffke Roofing Co, LLC|Noffke Roofing Co, LLC|39|58454|043668289|noffke roofing||||Noffke Roofing Co. LLC
Nordmann Roofing Co., Inc.|Nordmann Roofing Co., Inc.|50|105149|344417131|nordmann roofing||||
Norman Roofing|Norman Roofing|50|76211|640743658|norman roofing||||
North American Roofing|North American Roofing|268|378853|832410355|north american roofing|North American Roofing|www.naroofing.com||North American Roofing Services, LLC
NorthStar Construction Services|NorthStar Construction Services|63|111091|043156949|northstar||||NorthStar Construction Services Corp.
Northeast Roof Maintenance|Northeast Roof Maintenance|52|88527||northeast roof maintenance||||Northeast Roof Maintenance
Norton Sons Roofing|Norton Sons Roofing|30|29455|363586070|norton sons roofing||||
Nova Carpentry, Inc.|Nova Carpentry, Inc.|27|59170|650388575|nova carpentry||||
Nu-Tec Roofing Contractors LLC|Nu-Tec Roofing Contractors LLC|53|113791|352114307|nu-tec roofing|Nu-Tec Roofing Contractors|nutecroofing.com||Nu-Tec Roofing Contractors LLC
Nu-Tek Roof Systems|Nu-Tek Roof Systems|9|18720|872917902|nu-tek roof||||Nu-Tek Roof Systems
O'NEAL JR. ROOFING, INC.|O'NEAL JR. ROOFING, INC.|26|46625|264621172|o'neal jr. roofing|O'Neal Jr. Roofing|onealjrroofing.com||
O'Neal Roofing Company|O'Neal Roofing Company|25|36571|592015309|o'neal roofing||||O'Neal Roofing Co. Inc.
OGLES ROOFING  CONSTRUCTION LLC|OGLES ROOFING  CONSTRUCTION LLC|24|33548|465481578|ogles roofing||||
OLD WORLD CRAFTSMEN|OLD WORLD CRAFTSMEN|25|60000|780735258|old world craftsmen||||
OSR Holding Company, LLC|OSR Holding Company, LLC|135|173773|991311502|osr holding||||
Offshore Construction, Inc.|Offshore Construction, Inc.|12|26500|593534878|offshore||||
Olsson Roofing Co., Inc.|Olsson Roofing Co., Inc.|185|368469|362104947|olsson roofing||||
Omnia Exterior Solutions member company / James + Whitney, LLC|Omnia Exterior Solutions member company / James + Whitney, LLC|30|62400|820930156|omnia exterior solutions member company / james + whitney||||
Orchid Island Construction, LLC|Orchid Island Construction, LLC|40|83419|383740567|orchid island||||
Orion Builders Service, Inc.|Orion Builders Service, Inc.|22|40133|461840121|orion builders service||||
Oshkosh Industrial Roofing & Sheetmetal A Tecta America Company LLC|Oshkosh Industrial Roofing & Sheetmetal A Tecta America Company LLC|13|18524|921061550|oshkosh industrial roofing & sheetmetal a tecta america||||Oshkosh Industrial Roofing & Sheetmetal, a Tecta America Company, LLC.
Over the Top Roofing LLC|Over the Top Roofing LLC|15|23749|834158088|over the top roofing||||
Overhead Solutions LLC|Overhead Solutions LLC|36|74880|872206498|overhead||||
PB Roofing LLC|PB Roofing LLC|44|93418|920942333|pb roofing|PB Roofing|www.pbroofingco.com||PB Roofing LLC
PERFECT ROOFING OF FLORIDA, LLC|PERFECT ROOFING OF FLORIDA, LLC|17|12204|822041050|perfect roofing of florida||||
PGR Custom Homes|PGR Custom Homes|19|1695|650181136|pgr custom homes||||
PI Roof Maintenance Inc.|PI Roof Maintenance Inc.|40|84391|731623143|pi roof maintenance||||
PIEDMONT COMMERCIAL ROOFING, INC.|PIEDMONT COMMERCIAL ROOFING, INC.|22|36907||piedmont commercial roofing||||
PK Morin Enterprises Inc.  DBA: Roof Life of Oregon|PK Morin Enterprises Inc.  DBA: Roof Life of Oregon|35|54400|931105023|pk morin enterprises inc. dba: roof life of oregon||||
PLACER ROOFING INC|PLACER ROOFING INC|46|71538|863864393|placer roofing||||Placer Roofing Inc.
POWELL ROOFING, INC.|POWELL ROOFING, INC.|22|35051|611620273|powell roofing||||
PRO ROOFING & ASSOCIATE, INC|PRO ROOFING & ASSOCIATE, INC|16|27998|260628684|pro roofing & associate||||
PRS of Nevada dba Professional Roofing Services|PRS of Nevada dba Professional Roofing Services|100|10400|201729895|prs of nevada dba professional roofing||||
Palmer West Construction Company Inc|Palmer West Construction Company Inc|41|70198|411519611|palmer west||||Palmer West Construction Company, Inc.
Palmieri Roofing, Inc.|Palmieri Roofing, Inc.|9|13102|030326938|palmieri roofing||||
Paragon Roofing DBA Etruscan Gutters & Roofing|Paragon Roofing DBA Etruscan Gutters & Roofing|30|72000|271931996|paragon roofing dba etruscan gutters & roofing||||
Paramount Roofing, Inc|Paramount Roofing, Inc|30|49377|262459527|paramount roofing||||Paramount Roofing LLC
Patriot Roofing|Patriot Roofing|48|107708|454206993|patriot roofing||||Patriot Roofing LLC
Patuxent Roofing and Contracting|Patuxent Roofing and Contracting|345|533602||patuxent roofing & contracting||||
Paul Saunders Roofing Co Inc|Paul Saunders Roofing Co Inc|25|31806|541451205|paul saunders roofing||||
Peach State Roofing, Inc.|Peach State Roofing, Inc.|53|105871|581920786|peach state roofing||||Peach State Roofing Inc.
Peak Roofing, Inc.|Peak Roofing, Inc.|70|149217||peak roofing|Peak Roofing Partners|www.peakroofingpartners.com||Peak Roofing Inc.
Pearce-Blackburn Roofing|Pearce-Blackburn Roofing|27|52399|200894682|pearce-blackburn roofing||||
Penn Exterior Restoration, LLC|Penn Exterior Restoration, LLC|37|73336|842818068|penn exterior restoration||||
Pennsylvania Roofing Systems, Inc.|Pennsylvania Roofing Systems, Inc.|64|121708|251339595|pennsylvania roofing||||
Performance Roofing LLC|Performance Roofing LLC|49|63249|205739365|performance roofing||||Performance Roofing Systems Inc.
Performance Roofing dba A-Best Roofing|Performance Roofing dba A-Best Roofing|51|3290|731325517|performance roofing dba a-best roofing||||
Peterson Brother's Roofing and Construction, Inc.|Peterson Brother's Roofing and Construction, Inc.|45|64951|411351452|peterson brother's roofing||||
Peterson Roofing LLC.|Peterson Roofing LLC.|38|25793|934585699|peterson roofing|Peterson Roofing (Roofing Services)|www.petersonroofingca.com||
Pfeifer Roofing, Inc.|Pfeifer Roofing, Inc.|66|127790|931225470|pfeifer roofing||||Pfeifer Roofing Inc.
Phinney Industrial Roofing Inc|Phinney Industrial Roofing Inc|24|46410|341478040|phinney industrial roofing||||Phinney Industrial Roofing Inc.
Phinney Industrial Roofing Services & Maintenance, LLC|Phinney Industrial Roofing Services & Maintenance, LLC|21|42986|261519796|phinney industrial roofing services & maintenance||||
Phoenix Roofing Co., Inc.|Phoenix Roofing Co., Inc.|90|137898|NULL|phoenix roofing||||
Pickard Roofing Co., inc.|Pickard Roofing Co., inc.|18|28387|561317669|pickard roofing||||Pickard Roofing Co. Inc.
Pickens Contracting, Inc.|Pickens Contracting, Inc.|87|222037|570481031|pickens contracting||||Pickens Contracting Inc.
Pieros Roofing, a Tecta America Company|Pieros Roofing, a Tecta America Company|35|66005|932888481|pieros roofing a tecta america||||Pieros Roofing, a Tecta America Co., LLC
Pine Roofing Company, Inc.|Pine Roofing Company, Inc.|67|116518|361628895|pine roofing||||Pine Roofing Co. Inc.
Pinnacle Roofing Group|Pinnacle Roofing Group|25|35000|844581614|pinnacle roofing|Pinnacle Roofing Contractors|www.pinnacleroofing.com||Pinnacle Roofing
Pioneer Roofing Co|Pioneer Roofing Co|31|54662|861037548|pioneer roofing|Pioneer Roofing Systems|pioneerroofing.com||Pioneer Roofing Systems Inc.
Pioneer Roofing, A Tecta America Company, LLC|Pioneer Roofing, A Tecta America Company, LLC|51|101277|874105658|pioneer roofing a tecta america||||Pioneer Roofing, a Tecta America Company, LLC
Pittman Waller Roofing Co|Pittman Waller Roofing Co|42|64172|581812458|pittman waller roofing|Pittman Waller Roofing Company|www.pittmanwaller.com||Pittman Waller Roofing Co. Inc.
Platinum Roofing, LLC|Platinum Roofing, LLC|88|134509|472769625|platinum roofing|Platinum Roofing (Commercial Roofing)|www.platinumroofingmi.com|Platinum Roofing Solutions, Inc.|Platinum Roofing Solutions INC
Poly Vinyl Roofing|Poly Vinyl Roofing|26|38566|391899682|poly vinyl roofing||||
Port Enterprises, Ltd|Port Enterprises, Ltd|56|92197|741975498|port|Port Enterprises|www.portroofing.com||Port Enterprises Ltd.
Porter Roofing Contractors Inc.|Porter Roofing Contractors Inc.|195|478863|621037198|porter roofing|Porter Roofing Contractors|porter-roofing.com||Porter Roofing Contractors Inc.
Portland Painting and Construction|Portland Painting and Construction|20|35525|461425142|portland painting||||
Prate Roofing & Installations, PLLC|Prate Roofing & Installations, PLLC|14|23109|900947274|prate roofing & installations||||
Prattco Inc|Prattco Inc|22|23522|593352522|prattco||||
Preferred Construction Services, Inc.|Preferred Construction Services, Inc.|45|94676||preferred||||Preferred Construction Services Inc.
Preferred, Inc. - Fort Wayne|Preferred, Inc. - Fort Wayne|120|253823|352062372|preferred inc. - fort wayne||||Preferred Inc. - Fort Wayne
Premier Building Associates LLC.|Premier Building Associates LLC.|52|108683|475311086|premier building||||
Premier Contracting, Inc.|Premier Contracting, Inc.|31|61250|481162686|premier contracting||||Premier Contracting Inc.
Premier Roofing & Exteriors|Premier Roofing & Exteriors|28|49920|872206498|premier roofing & exteriors||||
Premier Roofing CA, Inc.|Premier Roofing CA, Inc.|48|93922|800174015|premier roofing ca||||
Preservation Services, Inc.|Preservation Services, Inc.|18|34925|363833640|preservation||||
Pressure Point Roofing|Pressure Point Roofing|49|98674|931052886|pressure point roofing||||Pressure Point Roofing
Prestige Painting Worldwide|Prestige Painting Worldwide|4|43992|822572068|prestige painting||||
Prestige Roofing Inc.|Prestige Roofing Inc.|69|154034|880364374|prestige roofing|Prestige Roofing Contractors|prestigeroofingok.com||
Procon Roofing Corporation|Procon Roofing Corporation|27|93707|851580344|procon roofing||||
Professional Roofing Services, INC|Professional Roofing Services, INC|19|40086|203881005|professional roofing|Professional Roofing Services|www.denniscookroofing.com||
Professional Sunshine Roofing, Inc.|Professional Sunshine Roofing, Inc.|56|116480|208422845|professional sunshine roofing||||
Progressive Roofing Inc|Progressive Roofing Inc|36|32191|161064150|progressive roofing|Progressive Roofing|www.progressiveroofing.us||Progressive Roofing Services
Propel Consulting Group LLC dba Roofco Group|Propel Consulting Group LLC dba Roofco Group|93|108299|471498168|propel consulting group llc dba roofco||||
Protech Roofing Systems LLC|Protech Roofing Systems LLC|50|108874|274452657|protech roofing|Protech Roofing Services|www.hernandoroofer.com||PROTECH Roofing Solutions
Pulver Roofing Company, Inc.|Pulver Roofing Company, Inc.|40|61414|150538539|pulver roofing||||
Pyramid Roofing|Pyramid Roofing|39|55404|161755493|pyramid roofing|Pyramid Roofing|www.pyramidroofing.com||Pyramid Roofing Co. Inc.
QA Roofing|QA Roofing|6|12480|371828616|qa roofing||||
