establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
All Seasons Roofing, LLC|All Seasons Roofing Services||1.00|2.00|22.00|27406.00|204885966|'All Seasons Roofing, LLC'|all seasons roofing|false
|All State Roofing||||||||all state roofing|false
|All Surface Roofing and Waterproofing||||||||all surface roofing and waterproofing|false
|Allen & Jane Roofing Contractors||||||||allen & jane roofing|false
|Allen Roofing & Siding||||||||allen roofing & siding|false
|Allied Commercial Roofing Services||||||||allied commercial roofing|false
|Allied Industrial Roofing Services||||||||allied industrial roofing|false
|Allied Precision Roofing and Contractors||||||||allied precision roofing and|false
|ALLIED ROOFING INSTALLATION SERVICES||||||||allied roofing installation|false
|Allied Roofing Services (Wales)||||||||allied roofing services (wales)|false
|Allied Roofing, Inc.||||||||allied roofing|false
|Alloy Roofing||||||||alloy roofing|false
|Allphase Restoration||||||||allphase restoration|false
|Allstate Roofing||||||||allstate roofing|false
|Alltype Roofing Contractors||||||||alltype roofing|false
|Ally Roofing Services||||||||ally roofing|false
|Alpha Roofing Services||||||||alpha roofing|false
Alpine Roofing HQ|Alpine Roofing||1.00|2.00|33.00|61500.00|832540987|'Alpine Roofing LTD'|alpine roofing|false
|Alpine Roofing (Commercial Services)||||||||alpine roofing (commercial services)|false
|Altec Roofing||||||||altec roofing|false
|Altitude Roofing Services||||||||altitude roofing|false
|Aman Roofing Services||||||||aman roofing|false
|Amastic Roofing, Building & Scaffolding Services||||||||amastic roofing, building & scaffolding|false
|Amber Roofing Services||||||||amber roofing|false
|AMECO Solar & Roofing||||||||ameco solar & roofing|false
|America 1st Roofing & Builders||||||||america 1st roofing & builders|false
|America Building Materials (Los Angeles)||||||||america building materials (los angeles)|false
American Roofing & Metal|American Roofing & Metal Co.||1.00|2.00|190.00|332392.00|611092077|'American Roofing & Metal'|american roofing & metal|false
|Americano Roofing & Gutters||||||||americano roofing & gutters|false
|Amf Roofing Contractors||||||||amf roofing|false
|Amg Roofing Services||||||||amg roofing|false
|ami roofing contractors inc.||||||||ami roofing|false
|Amstill Roofing||||||||amstill roofing|false
|Anchor Roofing Systems||||||||anchor roofing|false
|Anderson Roofing Services||||||||anderson roofing|false
|Apex Roofing||||||||apex roofing|false
