"id","company_name","establishment_name","ein","street_address","city","state","zip_code","naics_code","industry_description","annual_average_employees","total_hours_worked","no_injuries_illnesses","total_deaths","total_dafw_cases","total_djtr_cases","total_other_cases","total_dafw_days","total_djtr_days","total_injuries","total_poisonings","total_respiratory_conditions","total_skin_disorders","total_hearing_loss","total_other_illnesses","establishment_id","establishment_type","size","year_filing_for","created_timestamp","change_reason"
1365922,"Nations Roof","Nations Roof East",,"255 Lake Avenue","Yonkers","NY","10701",238160," Roofing contractors ",49,82215,1,0,4,0,0,186,0,4,0,0,0,0,0,743205,1,2,2020,3/23/2021 16:52:24,
1365973,"Black Hills Roofing","Black Hills Roofing","460415284","1840 Samco Road","RAPID CITY","SD","57702",238160," Low slope roofing installation ",30,57720,1,0,0,0,1,0,0,1,0,0,0,0,0,743220,1,2,2020,3/23/2021 17:54:40,
1365979,"Nations Roof of New York","Nations Roof of New York LLC",,"255 Lake Ave.","Yonkers","NY","10701",238160," Roofing contractors ",23,24263,2,0,0,0,0,0,0,0,0,0,0,0,0,501938,1,1,2020,3/23/2021 17:57:42,
1366059,"Cobblestone Enterprises (BSR Inc.)","Binghamton Slag Roofing, Inc.","150246460","120 Eldredge St","Binghamton","NY","139012609",238160," Roofing contractors ",41,57317,1,0,1,0,1,10,7,2,0,0,0,0,0,743252,1,2,2020,3/23/2021 18:58:40,
1366217,"Curtis C Roofing","Curtis C Roofing","815469280","3811 w lower buckeye rd","phoenix","AZ","85009",238160," Roofing contractors ",103,155964,1,0,1,0,3,45,135,4,0,0,0,0,0,743270,1,2,2020,3/23/2021 21:00:34,
1366243,"Danny Letner Inc","Danny Letner Inc","330603152","1490 N Glassell St","Orange","CA","92867",238160,"Roofing Contractor",360,776829,1,0,4,6,0,464,255,10,0,0,0,0,0,357511,1,3,2020,3/23/2021 21:33:40,
1366302,,"ARK COMMERCIAL ROOFING, INC","912054793","11505 E TRENT AVE","SPOKANE VALLEY","WA","992064633",238160," Roof membrane installation ",16,27589,1,0,1,1,0,24,1,2,0,0,0,0,0,743322,1,2,2020,3/23/2021 23:21:49,
1366643,"Granite City Roofing, Inc.","Granite City Roofing, Inc.","411266940","1095 39TH AVENUE N.E.","SAUK RAPIDS","MN","56379",238160," Roll roofing installation ",24,50058,2,0,0,0,0,0,0,0,0,0,0,0,0,382890,1,2,2020,3/24/2021 15:30:09,
1366654,"Delmarva Roofing & Coating, Inc.","Delmarva Roofing & Coating, Inc.","510308585","12982 Mennonite School Road","Greenwood","DE","19950",238160," Roof membrane installation ",38,85506,2,0,0,0,0,0,0,0,0,0,0,0,0,743436,1,2,2020,3/24/2021 15:39:52,
1366770,"Pacific Coast Painting, Inc.","John Merchant","953775540","2689 Sierra Ave","Norco","CA","928602387",238160," Painting, spraying, or coating, roof ",4,6265,2,0,0,0,0,0,0,0,0,0,0,0,0,743461,1,1,2020,3/24/2021 17:00:18,
