"id","company_name","establishment_name","ein","street_address","city","state","zip_code","naics_code","industry_description","annual_average_employees","total_hours_worked","no_injuries_illnesses","total_deaths","total_dafw_cases","total_djtr_cases","total_other_cases","total_dafw_days","total_djtr_days","total_injuries","total_poisonings","total_respiratory_conditions","total_skin_disorders","total_hearing_loss","total_other_illnesses","establishment_id","establishment_type","size","year_filing_for","created_timestamp","change_reason"
1426115.00,"Newton Crane Roofing, Inc.","Newton Crane Roofing, Inc.","371425932","353 North Cass Avenue","Pontiac","MI","48342","238160"," Roofing contractors ",38.00,55746.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65927.00,1.00,2.00,2021.00,1/3/2022 13:43:08,
1426132.00,"Dale Crampton Company","Dale Crampton Company","710383793","710 Division Street","Fort Smith","AR","72904","238160"," Roofing contractors ",22.00,42724.00,1.00,0.00,1.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,410418.00,1.00,2.00,2021.00,1/3/2022 14:19:01,
1426223.00,,"Medford Roofing, Inc","273343484","3687 Summer Ave.","Memphis","TN","38122","238160"," Roof membrane installation ",22.00,40965.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53576.00,1.00,2.00,2021.00,1/3/2022 15:53:12,
1426229.00,"Academy Roofing and Sheet Metal","Academy Roofing and Sheet Metal of the Midwest Inc.","262559067","6361 NE 14th Street","Des Moines","IA","503131212","238160"," Low slope roofing installation ",86.00,197173.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93103.00,1.00,2.00,2021.00,1/3/2022 16:07:06,
1426278.00,"Cornerstone Roofing, Inc.","Cornerstone Roofing, Inc.","911712646","17624 15th Ave SE #101A","Bothell","WA","98012","238160"," Steep slope roofing installation ",32.00,56140.00,1.00,0.00,3.00,2.00,1.00,7.00,95.00,6.00,0.00,0.00,0.00,0.00,0.00,593876.00,1.00,2.00,2021.00,1/3/2022 16:46:21,
1426279.00,"A&M Roofing Services, LLC","A&M Roofing Services, LLC","261369450","123 Tewksbury Street","ANDOVER","MA","01810","238160"," Roofing contractors ",65.00,135613.00,1.00,0.00,1.00,0.00,0.00,70.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,274198.00,1.00,2.00,2021.00,1/3/2022 16:46:22,
1426308.00,"Jim Murray Roofing, Inc.","Jim Murray Roofing, Inc.","814059502","322 N Tustin St","Orange","CA","92867","238160"," Roofing contractors ",40.00,74961.00,1.00,0.00,0.00,3.00,0.00,0.00,38.00,3.00,0.00,0.00,0.00,0.00,0.00,356679.00,1.00,2.00,2021.00,1/3/2022 17:16:30,
1426345.00,"ACW Construction","ACW Construction","870637321","3427 S. 500 W.","Salt Lake City","UT","84115","238160"," Sheet metal roofing installation ",22.00,45760.00,1.00,0.00,1.00,0.00,0.00,13.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,412164.00,1.00,2.00,2021.00,1/3/2022 17:56:22,
1426388.00,"Miller Painting Company, Inc.","Miller Painting Company, Inc.","580979409","6411 Garrard Avenue","Savannah","GA","31405","238160"," Painting, spraying, or coating, roof ",40.00,69753.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,410531.00,1.00,2.00,2021.00,1/3/2022 18:53:17,
1426489.00,"The Gehringer Corporation","The Gehringer Corporation","232299879","2512 Eberhart Road","Whitehall","PA","18052","238160"," Roofing contractors ",20.00,42277.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93420.00,1.00,2.00,2021.00,1/3/2022 20:32:03,
