id,establishment_name,establishment_id,ein,company_name,street_address,city,state,zip_code,naics_code,naics_year,industry_description,establishment_type,size,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_skin_disorders,total_respiratory_conditions,total_poisonings,total_hearing_loss,total_other_illnesses,created_timestamp,change_reason,year_filing_for,sector,zipcode,naics_char
2101901,Saukville,264770,452862309,JT Rams LLC,350 S. Tower St. Suite 2,Saukville,WI,53080,238160,2022,Roofing contractors,1,21,30,43232,1,0,0,2,0,0,12,2,0,0,0,0,0,02JAN24:14:25:00,,2023,Construction,53080,238160
2101908,warehouse,251498,452933462,"JRT Top Notch Roofs, LLC",350 South Tower St. Suite1,Saukville,WI,53080,238160,2022,Roofing contractors,1,21,20,23462,2,0,0,0,0,0,0,0,0,0,0,0,0,02JAN24:14:29:00,,2023,Construction,53080,238160
2102007,SGK Enterprises Inc.,1065641,301209237,SGK Enterprises Inc.,"1001 Corporate Avenue, Suite 105",North Port,FL,34289,238160,2022,Roofing contractors,1,22,130,245332,1,0,4,0,0,24,0,3,0,0,0,0,1,02JAN24:16:01:00,,2023,Construction,34289,238160
2102140,OAKS ENTERPRISES INC.,52737,,CROWN ROOFING,92582 CAPE ARAGO HWY,COOS BAY,OR,97420,238160,2022,Roofing contractors,1,1,5,6869,2,0,0,0,0,0,0,0,0,0,0,0,0,02JAN24:17:20:00,,2023,Construction,97420,238160
2102148,Veterans National Property Services,1065733,471304777,Veterans National Property Services,14034 N Florida Ave,Tampa,FL,33613,238160,2022,Asphalt roof shingle installation,1,21,21,42000,2,0,0,0,0,0,0,0,0,0,0,0,0,02JAN24:17:23:00,,2023,Construction,33613,238160
2102285,"Infinity Metal Systems, Inc.",897570,811987602,"Infinity Metal Systems, Inc.",5461 N. Lake Dr.,Lake City,GA,30260,238160,2022,Sheet metal roofing installation,1,21,25,46000,2,0,0,0,0,0,0,0,0,0,0,0,0,02JAN24:18:53:00,,2023,Construction,30260,238160
2102369,White Castle Lincoln,905977,753006516,White Castle Roofing,11501 S. 21st St.,Roca,NE,68430,238160,2022,Roofing Contractors,1,22,192,382180,1,0,1,1,5,6,97,7,0,0,0,0,0,02JAN24:19:33:00,,2023,Construction,68430,238160
2102467,Scott's Roofing Inc,999911,453540373,Scott's Roofing Inc,1020 SE Paiute Way- Suite 130,Bend,OR,97702,238160,2022,Roofing contractors,1,21,23,11154,1,0,3,0,3,9,0,6,0,0,0,0,0,02JAN24:20:15:00,,2023,Construction,97702,238160
2102547,A Brooks Roofing Inc,64014,222902030,A Brooks Roofing Inc,701 West 5th Street,Palmyra,NJ,08065,238160,2022,Roofing contractors,1,21,59,88745,1,0,0,0,4,0,0,4,0,0,0,0,0,02JAN24:21:11:00,,2023,Construction,08065,238160
2102951,Academy Roofing and Sheet Metal,915330,262559067,Academy Roofing and Sheet Metal,6361 NE 14th St,Des Moines,IA,50313,238160,2022,Low slope roofing installation,1,21,92,256573,1,0,1,0,4,29,0,5,0,0,0,0,0,03JAN24:14:33:00,,2023,Construction,50313,238160
2103234,WJT Belleville,261797,,"W. James Taylor, Inc.  d/b/a Jim Taylor, Inc.",1127 East B Street,Belleville,IL,62220,238160,2022,Low slope roofing installation,1,21,74,88293,2,0,0,0,0,0,0,0,0,0,0,0,0,03JAN24:16:33:00,,2023,Construction,62220,238160
2103377,"Jonesboro Roofing Co., Inc.",56957,,"Jonesboro Roofing Co., Inc.",2900 Washington Spur,Jonesboro,AR,72401,238160,2022,Roofing Contractors,1,21,84,191628,1,0,0,0,1,0,0,1,0,0,0,0,0,03JAN24:17:35:00,,2023,Construction,72401,238160
2103441,619 Roofing LLC,1065364,830928154,619 Roofing LLC,2122 W. Mission Rd.,Escondido,CA,92029,238160,2022,Roofing contractors,1,21,33,66000,1,0,0,1,0,0,15,1,0,0,0,0,0,03JAN24:18:05:00,,2023,Construction,92029,238160
2103496,"A & A Roofing Co., Inc.",651232,920032279,"A & A Roofing Co., Inc.",925 Aspen St,Fairbanks,AK,99709,238160,2022,Low slope roofing installation,1,1,30,56024,1,0,1,0,3,3,0,4,0,0,0,0,0,03JAN24:18:24:00,,2023,Construction,99709,238160
