company_name|ein|stripped_company_name|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024
Legacy Service USA, LLC|454157378|legacy service usa|0|0|0|20|19|0|0|0|40673|39520
Legends Roofing Co Inc|912175005|legends roofing|36|0|0|0|0|60154|0|0|0|0
Lehman Roofing, Inc||lehman roofing|27|23|29|30|27|56399|60986|59734|62399|57199
Leo's roofing Inc. dba Leo's Gutters|571188522|leo's roofing inc. dba leo's gutters|0|0|0|19|0|0|0|0|36100|0
Leonard Roofing Inc,|680579921|leonard roofing|0|0|0|599|0|0|0|0|1104116|0
LePierre Roofing, Inc.|823623190|lepierre roofing|0|0|36|0|0|0|0|17984|0|0
Letner Roofing Company||letner roofing|0|0|330|380|0|0|0|616090|699316|0
Lifetime Quality Roofing and Storm Restoration, LLC|474451508|lifetime quality roofing & storm restoration|0|0|0|88|106|0|0|0|183040|208296
Lifetime Quality Roofing Cincinnati, LLC|880558712|lifetime quality roofing cincinnati|0|0|0|17|22|0|0|0|36053|41744
Lifetime Quality Roofing Cleveland, LLC|922762726|lifetime quality roofing cleveland|0|0|0|17|26|0|0|0|36053|49040
LIFETIME ROOFING SPECIALISTS, INC.|814360208|lifetime roofing specialists|0|0|16|0|0|0|0|7525|0|0
Lindholm Construction Inc.|261795938|lindholm|25|39|94|47|50|63289|107513|246452|126756|131384
Lindy Roofing Company INC.|770417515|lindy roofing|0|0|0|0|20|0|0|0|0|750
Lines & Lundgreen, LLC|475549597|lines & lundgreen|0|0|50|0|0|0|0|104000|0|0
Lloyd Roofing Company, Inc.|570370176|lloyd roofing|68|69|67|67|68|159518|156429|139930|152275|154738
Local Roofs LLC|882982443|local roofs|0|0|30|100|21|0|0|500|280800|166400
Lock Roofing PLLC|862463057|lock roofing|0|0|0|0|30|0|0|0|0|31442
Long Life Roofing Co.|391589187|long life roofing|0|18|16|17|17|0|22900|27526|30846|27315
LOW-SLOPE SOLUTIONS, LLC|272120663|low-slope|0|0|0|0|33|0|0|0|0|47959
Lowe Roofing of Wyoming LLC|463060731|lowe roofing of wyoming|32|28|25|27|21|60347|50281|49145|60088|42503
Lundin Roofing Company, LLC||lundin roofing|0|0|39|22|31|0|0|81046|41753|58188
LUNEX POWER INC.|851250991|lunex power|0|18|0|0|0|0|16039|0|0|0
Lutz Roofing|382423268|lutz roofing|196|199|209|222|213|266973|285009|300833|335968|301698
Lydick-Hooks Roofing Co. of Lubbock, Inc.|750405113|lydick-hooks roofing co. of lubbock|34|37|29|30|30|58295|56749|49789|61046|58901
Lydick-Hooks Roofing Co. of Wichita Falls, Inc.|751492477|lydick-hooks roofing co. of wichita falls|33|24|22|24|24|49495|48102|45302|50120|50924
Lyons Roofing|932571840|lyons roofing|0|0|0|88|76|0|0|0|48048|158355
M Cannon Roofing Co, LLC|680552376|m cannon roofing|38|30|35|0|31|51436|32619|35999|0|42447
M. Potteiger Inc.|231709914|m. potteiger|31|30|26|24|22|43069|48238|38138|41044|36354
M. W. Tighe Roofing, Inc.||m. w. tighe roofing|23|20|18|18|17|38982|34877|34877|27292|28971
M.E.B. Systems Inc.|341769371|m.e.b|21|0|0|0|0|43837|0|0|0|0
M.W. Johnson Enterprises LLC|462288016|m.w. johnson|0|0|28|33|30|0|0|56000|65368|6240
M.W. Morss, Inc.|382512455|m.w. morss|0|0|27|26|19|0|0|35511|37240|33528
MAC JOHNSON ROOFING, INC.|593528378|mac johnson roofing|48|42|42|80|38|114104|97225|85449|170938|65426
Macri Roofing, Inc.|60887578|macri roofing|0|0|25|25|0|0|0|62700|58300|0
Madera Roofing, Inc.|942843976|madera roofing|43|0|0|0|0|69947|0|0|0|0
Maggio Roofing|521821225|maggio roofing|0|19|19|20|15|0|41132|40876|32928|36110
MAGIC BUBBLES COMPANY OWNED, LLC|861332466|magic bubbles company owned|0|17|0|0|0|0|25511|0|0|0
Mahan Slate Roofing Co., Inc.||mahan slate roofing|24|24|22|23|24|48276|51139|47928|50389|50944
Mahaney Group Inc.||mahaney|120|125|143|0|0|220419|249094|245955|0|0
MAHER ROOFING|680636604|maher roofing|0|13|0|0|0|0|7354|0|0|0
Malone Roffing Services LLC|203523442|malone roffing|0|0|0|44|0|0|0|0|91561|0
Maly Roofing Company|391619881|maly roofing|0|0|0|30|31|0|0|0|49112|44498
Mammoth Contracting LLC|815179460|mammoth contracting|0|22|15|11|15|0|45760|30000|76960|31200
Mandal's Inc.|640430853|mandal's|73|67|71|0|0|87930|124843|152877|0|0
Mandal's Inc.||mandal's|0|0|0|0|71|0|0|0|0|152877
Manheim Dellovade LLC|881372994|manheim dellovade|0|0|70|49|29|0|0|24130|98573|51608
Manson Roofing, Inc.|591799056|manson roofing|39|32|0|28|32|73005|68365|0|59837|590920
Marcor Construction, Inc.|262315970|marcor|0|0|0|0|55|0|0|0|0|70035
Maria Diem Corp|923208229|maria diem|0|0|0|0|18|0|0|0|0|31491
Marion/Service Roofing|592462556|marion/service roofing|27|27|0|0|0|53415|49131|0|0|0
Martin Roofing Company Inc.|952536694|martin roofing|0|0|0|0|54|0|0|0|0|83076
Massey Contracting LLC|843518481|massey contracting|0|0|24|92|60|0|0|28753|133444|130000
Mast Roofing & Construction, Inc.|202034518|mast roofing|0|0|23|26|26|0|0|25467|30470|47295
Master Roofing Solutions LLC|992804740|master roofing|0|0|0|0|400|0|0|0|0|214033
MAUNA KEA ROOFING, LLC|471343883|mauna kea roofing|0|0|22|25|25|0|0|36093|34469|43500
MAXIM ROOFING COMPANY, LLC|454993067|maxim roofing|32|0|35|34|31|51169|0|59816|49865|50570
Maxwell Roofing & Sheet Metal, Inc|620695385|maxwell roofing & sheet metal|0|0|0|75|97|0|0|0|164255|133718
Maxxim Construction and Roofing, LLC|844424968|maxxim construction & roofing|0|0|0|0|16|0|0|0|0|67518
MCCREARY ROOFING CO., INC.|250895137|mccreary roofing|0|0|0|53|0|0|0|0|99015|0
McDermaid Roofing and Insulating Co.|361561570|mcdermaid roofing & insulating|0|0|0|40|42|0|0|0|64854|67366
McDonald Roofing Company|383171777|mcdonald roofing|46|52|0|0|0|92651|100150|0|0|0
McDonnell Roofing Inc|330992075|mcdonnell roofing|36|35|27|26|47|39837|62088|39205|44009|41933
McEnany Roofing, Inc|592583665|mcenany roofing|142|145|145|140|110|284925|282961|263514|219374|224524
MCF CONSTRUCTION AND CONSULTANTS, INC|592171838|mcf construction & consultants|0|0|0|34|0|0|0|0|66162|0
McKinnis Inc.|470752353|mckinnis|80|80|82|93|0|152939|154649|151483|192676|0
McLaughlin|770260894|mclaughlin|55|55|55|93|50|40|96451|98893|71613|71243
MCM ROOFING COMPANY INC.|205245857|mcm roofing|35|30|30|30|35|53202|53669|52311|49283|48820
McPhillips Bros. Roofing Co|411521988|mcphillips bros. roofing|50|50|42|40|40|46588|38710|40794|44437|48959
MD Roofing, Inc|651032411|md roofing|0|0|0|13|12|0|0|0|18119|17875
Meade Construction|311645427|meade|54|37|30|32|28|89157|69824|56588|58335|48599
Meade Roofing Services|843693747|meade roofing|0|0|0|7|0|0|0|0|14448|0
Medford Roofing, Inc.|273343484|medford roofing|0|0|26|18|18|0|0|42964|33525|33923
Melvin T. Morgan Roofing|541444349|melvin t. morgan roofing|15|13|6|6|6|29550|24230|11141|8710|8515
Merit Contracting|411426936|merit contracting|65|68|68|75|76|115501|111565|118637|132416|130093
Metal Alliance, Inc.|232749020|metal alliance|0|21|27|31|29|0|37637|48917|60868|56008
Metal Roof Contractors, Inc.|731531856|metal roof|35|34|0|38|42|67222|73172|0|76318|87856
Metal Works of Montana Inc|810428413|metal works of montana|53|0|0|60|0|101755|0|0|94281|0
Metalcrafts. A Tecta America Company|580826463|metalcrafts. a tecta america|54|41|39|34|35|118925|89968|78955|70443|67212
Metalmaster Roofmaster|363376644|metalmaster roofmaster|124|99|127|0|99|266640|205920|264160|0|205920
Metric Roofing of Southern Arizona|474369698|metric roofing of southern arizona|0|0|77|0|0|0|0|20611|0|0
Metro Property Services Inc|593069064|metro property|21|27|27|24|25|39102|45024|46841|41598|45369
