company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|website|match_company_name|stripped_company_name|company_name_multiple_match
Alf's Roofing|||||||alfsroofing.com||alf's roofing|false
Alincourt (Roofing)|||||||alincourt.com||alincourt|false
All Area Roofing & Construction|||||||allarearoofingftp.com||all area roofing &|false
All Seasons Roofing Services||1|1|20|41137|204885966|unknown|'All Seasons Roofing, LLC'|all seasons roofing|false
All State Roofing|||||||allstateroofing.com||all state roofing|false
All Surface Roofing and Waterproofing|||||||www.asr-inc.us||all surface roofing and waterproofing|false
Allen & Jane Roofing Contractors|||||||allenandjane.co.uk||allen & jane roofing|false
Allen Roofing & Siding||1|22|100|159495|881581570|www.aroofing.net|'Allen Roofing & Siding, LLC.'|allen roofing & siding|false
Allied Commercial Roofing Services|||||||www.alliedcommercialroofing.com||allied commercial roofing|false
Allied Industrial Roofing Services|||||||alliedindustrialroofing.co.uk||allied industrial roofing|false
Allied Precision Roofing and Contractors|||||||alliedprecisionrc.com||allied precision roofing and|false
ALLIED ROOFING INSTALLATION SERVICES|||||||alliedroofingwa.com||allied roofing installation|false
Allied Roofing Services (Wales)||1|42|86|166880|562164362, 592690416|unknown|'Allied Roofing Company, Inc.'|allied roofing|true
Allied Roofing, Inc.||1|42|86|166880|562164362, 592690416|unknown|'Allied Roofing Company, Inc.'|allied roofing|true
Alloy Roofing|||||||www.alloyroofing.com||alloy roofing|false
Allphase Restoration|||||||www.allphaserestore.com||allphase restoration|false
Allstate Roofing|||||||allstateroofingaz.com||allstate roofing|false
Alltype Roofing Contractors|||||||atrc.co.uk||alltype roofing|false
Ally Roofing Services|||||||allyroofingservices.com||ally roofing|false
Alpha Roofing Services|||||||alpharoof.co.uk||alpha roofing|false
Alpine Roofing||1|21|34|69637|832540987|www.alpineroofing757.com|'Alpine Roofing LTD.'|alpine roofing|false
Alpine Roofing (Commercial Services)||1|21|34|69637|832540987|www.alpineroofing757.com|'Alpine Roofing LTD.'|alpine roofing|false
Altec Roofing|||||||www.altecroofing.com||altec roofing|false
Altitude Roofing Services|||||||altituderoofingservicesltd.co.uk||altitude roofing|false
Aman Roofing Services|||||||unknown||aman roofing|false
Amastic Roofing, Building & Scaffolding Services|||||||amastic.co.uk||amastic roofing, building & scaffolding|false
Amber Roofing Services|||||||amberroofingscotland.com||amber roofing|false
AMECO Solar & Roofing|||||||amecosolar.com||ameco solar & roofing|false
America 1st Roofing & Builders|||||||www.america1stroofing.com||america 1st roofing & builders|false
America Building Materials (Los Angeles)|||||||www.americabm.com||america building materials|false
American Roofing & Metal Co.||1|43|370|707490|610192077, 741609768|amerroofing.com|'American Roofing & Metal'|american roofing & metal|true
Americano Roofing & Gutters|||||||www.goamericano.com||americano roofing & gutters|false
Amf Roofing Contractors|||||||amfroofingltd.co.uk||amf roofing|false
Amg Roofing Services|||||||amgroofing.co.uk||amg roofing|false
ami roofing contractors inc.|||||||amiroofingcontractors.com||ami roofing|false
Amstill Roofing|||||||www.amstillroofing.com||amstill roofing|false
Anchor Roofing Systems|||||||www.anchor-roofs.com||anchor roofing|false
Anderson Roofing Services|||||||andersonroofingservices.org||anderson roofing|false
Apex Roofing|||||||apextx.com||apex roofing|false
Apex Roofing & General Contractors|||||||apexroofing.biz||apex roofing & general|false
Apex Roofing & Restoration|||||||www.apexroofs.com||apex roofing & restoration|false
Apex Roofing Services|||||||apextx.com||apex roofing|false
Apple Roofing||1|24|277|559885|161198739, 871607348|www.appleroofing.com|'Apple Roofing Corp'|apple roofing|true
Apple Roofing (Roofing Services)||1|24|277|559885|161198739, 871607348|www.appleroofing.com|'Apple Roofing Corp'|apple roofing|true
Applied Roofing Services||1|21|32|73255|453595919|www.appliedroofingservices.com|'Applied Roofing Solutions, Inc.'|applied roofing|false
Approved Rubber Roofing Contractors|||||||arrcltd.co.uk||approved rubber roofing|false
AR Roofing (Kansas)||2|21|21|43680|050571696|www.arroofing.com|'AR Roofing'|ar roofing|false
Ar Roofing Contractors||2|21|21|43680|050571696|www.arroofing.com|'AR Roofing'|ar roofing|false
Arc Roofing & Building Contractor|||||||isleofwightbuilding-arc.co.uk||arc roofing & building contractor|false
Arcadia Roofing|||||||www.arcadiaroofing.com||arcadia roofing|false
Arcadia Roofing and Siding|||||||arcadiaroofinginc.com||arcadia roofing and siding|false
Armstrong Roofing Services|||||||unknown||armstrong roofing|false
Arocon Roofing & Construction|||||||www.aroconllc.com||arocon roofing &|false
Arrow Roofing Services|||||||www.arrowroofingservicesllc.com||arrow roofing|false
Arrowhead Building Supply|||||||www.arrowheadbuildingsupply.com||arrowhead building supply|false
Arroyo's Roofing|||||||arroyosroofingllc.com||arroyo's roofing|false
ARS Construction||1|3|272|526714|860067585|www.arsbuild.com|'ARS'|ars|false
Artigues Roofing & Restoration Services|||||||scroofclaim.com||artigues roofing & restoration|false
Ashburn Pro Roofing|||||||ashburnproroofing.com||ashburn pro roofing|false
Ashby's Building & Roofing Services|||||||unknown||ashby's building & roofing|false
Aspect Roofing Services|||||||aspectroofingservicesltd.co.uk||aspect roofing|false
Aspire Roofing Contractors|||||||aspireroofingcontractors.com||aspire roofing|false
Aspire Roofing Services|||||||aspireroofingcontractors.com||aspire roofing|false
ASSOC ROOFING CONTRACTORS OF NORTHERN CALIF|||||||rcacal.com||assoc roofing contractors of northern calif|false
ASSOCIATED ROOFING CONTRACTORS OF THE BAY AREA COUNTIES|||||||arcbac.org||associated roofing contractors of the bay area counties|false
