establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name|company_name_multiple_match
Carlisle Construction Materials - Plymouth|Carlisle Construction Materials LLC|MI|1|1|10|17720|161449809|'Carlisle Construction Materials'|carlisle construction materials|false
COMMERCIAL INDUSTRIAL ROOFING, INC-LYNNWOOD|COMMERCIAL INDUSTRIAL ROOFING, INC|WA|1|2|54|112369|911086335|'Commercial Industrial Roofing Inc'|commercial industrial roofing|false
Decor, Inc|Decor, Inc|CO|1|2|19|36066|263924302|'Decor Construction Inc.'|decor|false
Crawford Roofing Experts|Crawford Roofing Experts|IL|1|1|24|35539|320359884|'Crawford Roofing Experts LLC'|crawford roofing experts|false
Atlas Roofing Corporation - Northglenn, CO|Atlas Roofing Corporation|CO|1|2|32|66318||'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Atlas Roofing Corporation - Phoenix AZ|Atlas Roofing Corporation|AZ|1|2|27|54919||'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Hertless Brothers Roofing, Inc.|Hertless Brothers Roofing, Inc.|VA|1|2|20|36136|202009976|'Hertless Brothers Roofing Inc.'|hertless brothers roofing|false
Shay REoofing Inc|Shay Roofing Inc|IL|1|2|58|87662||'Shay Roofing Inc.'|shay roofing|false
TRANS COASTAL CONSTRUCTION|TRANS COASTAL CONSTRUCTION|FL|1|2|20|27485|591566091|'Trans Coastal Construction'|trans coastal|false
Apple Roofing|Apple Roofing Corp.|NY|1|2|39|66601||'Apple Roofing Corp.'|apple roofing|false
Owens Corning Fairburn Plant|Owens Corning|GA|1|3|240|561694|371525228|'Owens Corning'|owens corning|false
Southern Management Companies|Southern Management Corporation|VA|1|3|3196|2721907|521223227|'Southern National'|southern|false
Crawford Roofing|Crawford Roofing INC.|OK|1|2|29|26063|730951924|'Crawford Roofing Corp.', 'Crawford Roofing Inc.'|crawford roofing|true
Red Pointe Roofing, LP|Red Pointe Roofing, LP|CA|1|2|101|210358|900957014|'Red Pointe Roofing'|red pointe roofing|false
Stonewater Roofing|Stonewater Roofing|TX|1|2|50|2000|273642939|'Stonewater Roofing'|stonewater roofing|false
Atlas Roofing Corporation|Atlas Roofing Corporation|GA|1|2|40|79114|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Watts & Associates Roofing Inc|Watts & Associates Roofing Inc|SC|1|2|54|108856||'Watts & Associates Roofing Inc.'|watts & associates roofing|false
MONARCH CONSTRUCTION CO|MONARCH CONSTRUCTION CO|IL|1|2|83|136478|363603650|'Monarch Consulting Services'|monarch|false
Roof Maintenance Systems|Roof Maintenance Systems|NJ|1|2|19|30075|222016917|'Roof Maintenance Systems'|roof maintenance|false
NY|Neth & Son Inc|NY|1|2|88|133718|161010131|'Neth & Son Inc.'|neth & son|false
Roof Management Services LLC|Roof Management Services LLC|ME|1|2|21|46578|263318366|'Roof Management Services Inc.', 'Roof Partners LLC', 'Roof Services LLC', 'Roof Solutions Inc.', 'Roof Technologies', 'Roof Technologies LLC'|roof|true
FL|Neth & Son Inc|FL|1|2|18|20151|061320679|'Neth & Son Inc.'|neth & son|false
RSI of Florida, LLC|RSI of Florida, LLC|FL|1|2|43|93939|592574965|'RSI of Florida Inc.'|rsi of florida|false
Sentry Roofing, Inc.|Sentry Roofing, Inc.|IN|1|2|34|50518||'Sentry Roofing Inc.'|sentry roofing|false
Metalforming, Inc|Metalforming, Inc.|GA|1|2|40|84546|582339671|'Metalforming LLC'|metalforming|false
TWIN CITY ROOFING LLC|TWIN CITY ROOFING LLC|ND|1|2|25|42808||'Twin City Roofing LLC'|twin city roofing|false
SRS Roofing and Sheet Metal, Inc|SRS Roofing & Sheet Metal, Inc|WI|1|2|45|74606|203056563|'SRS Roofing & Sheet Metal Inc.'|srs roofing & sheet metal|false
The Ray Company, Inc.|The Ray Company, Inc.|NC|1|2|22|40780|560482744|'The RAY Company, Inc.'|the ray company|false
Armstrong International - Three Rivers Division|Armstrong International Inc.|MI|1|3|268|486159|380308010|'Armstrong Group Inc.'|armstrong|false
Platinum Roofing, LLC|Platinum Roofing, LLC|AR|1|2|32|61639|472769625|'Platinum Roofing', 'Platinum Roofing LLC', 'Platinum Roofing Solutions INC'|platinum roofing|true
International Roofing Corporation|International Roofing Corporation|VA|1|2|25|37162|541500362|'International Roofing Corp.'|international roofing|false
Owens Corning|Owens Corning|MO|1|2|176|353159|250729265|'Owens Corning'|owens corning|false
The Gehringer Corporation|The Gehringer Corporation|PA|1|2|21|38699|232299879|'The Gehringer Corp.'|the gehringer|false
Courtyard by Marriott Palo Alto Los Altos|Four Seasons LLC|CA|1|2|18|42664||'Four Seasons Construction LLC'|four seasons|false
Highland - Raleigh|Highland Roofing Company|NC|1|1|2|4300||'Highland Roofing Co. Inc.', 'Highland Roofing Company'|highland roofing|true
Highland - Wilmington|Highland Roofing Company|NC|1|2|37|74057||'Highland Roofing Co. Inc.', 'Highland Roofing Company'|highland roofing|true
Office|The Fania Company|NJ|1|2|33|55736|221501476|'The Fania Co.'|the fania|false
Kleinfelder|Kleinfelder|CA|1|3|1850|3439928|941532513|'Kleinfelder, Inc'|kleinfelder|false
Register Roofing & Sheet Metal, Inc.|Register Roofing & Sheet Metal, Inc.|FL|1|2|92|192900|542069021|'Register Roofing & Sheet Metal Inc.'|register roofing & sheet metal|false
Pax Gonzales|Pax LLC|LA|1|2|35|77334||'PAX Services Group'|pax|false
Pax Deridder|Pax LLC|LA|1|1|16|37709||'PAX Services Group'|pax|false
Filotto Roofing|Filotto Roofing|IL|1|2|28|35791|363964971|'Filotto Roofing, Inc.'|filotto roofing|false
