establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
Allied Roofing, Inc.|Allied Roofing, Inc.|FL|1|2|28|56584|592690416|'Allied Roofing, Inc.'|allied roofing|false
CertainTeed Corporation Williamsport Maryland|CertainTeed Corporation|MD|1|3|314|602216||'CertainTeed'|certainteed|false
Professional Roofing Services|Professional Roofing Services|NV|1|2|68|141440|201729895|'Professional Roofing Services'|professional roofing|false
Nu-Tec Roofing Contractors|Nu-Tec Roofing Contractors LLC|IN|1|2|60|127813|352114307|'Nu-Tec Roofing Contractors'|nu-tec roofing|false
Plygem|Cornerstone|TN|1|3|265|678952|430799731|'Cornerstone Construction'|cornerstone|false
Commercial Roofing Contractor|Interstate Roofing Co Inc|NC|1|2|34|78489||'Interstate Roofing', 'Interstate Roofing Company'|interstate roofing|true
Massey Construction|Massey Construction|TN|1|2|38|80801|620803203|'Massey Construction Group'|massey|false
McEnany Roofing, Inc T|McEnany Roofing, Inc|FL|1|2|145|263514|592583665|'Mcenany Roofing'|mcenany roofing|false
Port Industries Inc|Port Industries Inc|MO|1|2|48|91635|340904575|'Port Enterprises'|port|false
Mueller Inc. (BMC)|Mueller Inc.|TX|1|3|330|725168|751964049|'Mueller'|mueller|false
Platinum Roofing, LLC|Platinum Roofing, LLC|AR|1|2|43|128012|472769625|'Platinum Roofing'|platinum roofing|false
Apple Roofing Corp.|Apple Roofing Corp.|NY|1|2|51|62817|161198739|'Apple Roofing'|apple roofing|false
Nations Roof of Indiana LLC|Nations Roof|IN|1|2|21|59202|822431871|'Nations Roof'|nations roof|false
Micro Gauge|Mueller Industries|MI|1|2|75|149850||'Mueller'|mueller|false
Mueller Copper Tube West Co.|Mueller Industries Inc|UT|1|2|100|230710||'Mueller'|mueller|false
Millwork & Panel LLC- Social Circle|CertainTeed LLC|GA|1|2|55|94809|320613145|'CertainTeed'|certainteed|false
Williamsburg Office|Pyramid Roofing|VA|1|1|15|26415|161755493|'Pyramid Roofing'|pyramid roofing|false
Hampton Office|Pyramid Roofing|VA|1|1|24|42264|161755493|'Pyramid Roofing'|pyramid roofing|false
Brothers Construction LLC|Brothers Construction LLC|NC|1|2|92|89295|473488124|'Brothers Services'|brothers|false
Revolution Consumer Solutions, LLC|Revolution Company|TX|1|2|197|390378|842810881|'Revolution Contractors'|revolution|false
Wayne's Roofing, Inc.|Wayne's Roofing, Inc.|WA|1|2|127|212937|910949176|'Wayne's Roofing'|wayne's roofing|false
TMJ Construction Services|TMJ Construction Services|IA|1|2|19|45814|542149654|'TMJ Construction Services'|tmj|false
Simon Roofing and Sheet Metal - Oklahoma City|Simon Roofing|OK|1|1|1|2039||'Simon Roofing'|simon roofing|false
CertainTeed|CertainTeed|PA|1|2|81|109196|232510893|'CertainTeed'|certainteed|false
Absolute Construction Enterprises, Inc.|Absolute Construction Enterprises Inc.|WI|1|2|20|36398|391668123|'Absolute Construction'|absolute|false
