establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name|company_name_multiple_match
Graham Roofing Incorporated|Graham Roofing Incorporated|MS|1.00|2.00|39.00|79425.00|640512412|'Graham Roofing Inc.'|graham roofing|false
McEnany Roofing, Inc T|McEnany Roofing, Inc|FL|1.00|2.00|145.00|282961.00|592583665|'McEnany Roofing Inc.'|mcenany roofing|false
Delta Innovative Services Inc|Delta Innovative Services|KS|1.00|2.00|157.00|294177.00|200820115|'Delta Innovative Services'|delta innovative|false
DB2 Services Inc|Delta Innovative Services|KS|1.00|2.00|66.00|120265.00|264075785|'Delta Innovative Services'|delta innovative|false
Sutter Roofing Company of Florida|Sutter Roofing|FL|1.00|2.00|218.00|520612.00|591923325|'Sutter Roofing', 'Sutter Roofing Co.'|sutter roofing|true
Owens Corning Brentwood|Owens Corning|NH|1.00|2.00|80.00|189031.00|743189734|'Owens Corning'|owens corning|false
JDH Company Inc.|JDH Company|TN|1.00|2.00|60.00|132379.00||'JDH Co. Inc.'|jdh|false
COMMERCIAL INDUSTRIAL ROOFING, INC-LYNNWOOD|COMMERCIAL INDUSTRIAL ROOFING, INC|WA|1.00|2.00|64.00|141915.00|911086335|'Commercial Industrial Roofing Inc'|commercial industrial roofing|false
Atlas Roofing Corporation|Atlas Roofing Corporation|GA|1.00|2.00|42.00|80950.00|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Atlas Roofing Corporation - Northglenn, CO|Atlas Roofing Corporation|CO|1.00|2.00|46.00|102101.00||'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Atlas Roofing Corporation - Phoenix AZ|Atlas Roofing Corporation|AZ|1.00|2.00|28.00|50907.00||'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Bonitz of Georgia|Bonitz of Georgia|GA|1.00|2.00|33.00|74388.00|581897306|'Bonitz of Georgia Inc.'|bonitz of georgia|false
DSI Energy Solutions LLC|Dynamic Group LLC|LA|1.00|2.00|40.00|86400.00||'Dynamic National'|dynamic|false
Mid-State Roofing and Coating, Inc.|Mid-State Roofing and Coating, Inc.|PA|1.00|2.00|32.00|54540.00|392050264|'Mid-State Roofing and Coating Inc.'|mid-state roofing and coating|false
Scott Construction Corporation|Scott Construction Corporation|ME|1.00|2.00|21.00|40000.00|453355039|'Scott Enterprises Inc.'|scott|false
Premier Construction Group|Premier Construction Group|PA|1.00|2.00|29.00|58872.00|251847591|'Premier Enterprises'|premier|false
The Ray Company, Inc.|The Ray Company, Inc.|NC|1.00|2.00|22.00|36183.00|560482744|'The RAY Company, Inc.'|the ray company|false
Port Industries Inc|Port Industries Inc|MO|1.00|2.00|46.00|89849.00|340904575|'Port Enterprises', 'Port Enterprises Ltd.'|port|true
International Roofing Corporation|International Roofing Corporation|VA|1.00|2.00|28.00|49202.00|541500362|'International Roofing Corp.'|international roofing|false
Nations Roof of Indiana LLC|Nations Roof|IN|1.00|1.00|13.00|28796.00|822431871|'Nations Roof', 'Nations Roof LLC'|nations roof|true
Robert Ganter Contractors Inc|Robert Ganter Contractors Inc|PA|1.00|2.00|110.00|193143.00||'Robert Ganter Contractors Inc.'|robert ganter|false
G&L Tube LLC|O'Neal Industries|TN|1.00|2.00|123.00|308491.00|842568461|'O'Neal Construction'|o'neal|false
Aspen Corporation|Aspen Corporation|WV|1.00|2.00|102.00|203900.00||'Aspen Group'|aspen|false
Peterson Cotractors, Inc.|Peterson Contractors Inc.|IA|1.00|3.00|485.00|1301110.00|420921654|'Peterson Consulting Group'|peterson|false
CEi Construction LLC DBA CEi Builders|CEi Construction LLC|NV|1.00|2.00|25.00|52007.00|271283781|'CEI Group LLC'|cei|false
Liberty Sheet Metal, Inc.|Liberty Sheet Metal, Inc.|MI|1.00|2.00|74.00|129510.00|263824306|'Liberty Sheet Metal'|liberty sheet metal|false
Turner Roofing Company|Turner Roofing Company|MD|2.00|2.00|45.00|77458.00|521503035|'Turner Roofing Co.'|turner roofing|false
Commercial Roofing Contractor|Interstate Roofing Co Inc|NC|1.00|2.00|41.00|87569.00||'Interstate Roofing Inc.'|interstate roofing|false
TW Metals - STP|O'Neal Industries|NJ|1.00|2.00|25.00|52343.00|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Cranbury|O'Neal Industries|NJ|1.00|2.00|31.00|65222.00|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Wichita|O'Neal Industries|KS|1.00|2.00|43.00|92469.00|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Seattle|O'Neal Industries|WA|1.00|2.00|33.00|64743.00|464009440|'O'Neal Construction'|o'neal|false
TW Metals - LA|O'Neal Industries|CA|1.00|2.00|56.00|117169.00|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Exton|O'Neal Industries|PA|1.00|2.00|95.00|196461.00|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Cincinnati|O'Neal Industries|OH|1.00|2.00|29.00|62225.00|464009440|'O'Neal Construction'|o'neal|false
Shay Roofing Inc.|Shay Roofing INC.|IL|1.00|2.00|57.00|78690.00|371298422|'Shay Roofing Inc.'|shay roofing|false
TW Metals - Carol Stream|O'Neal Industries|IL|1.00|2.00|99.00|210961.00|464009440|'O'Neal Construction'|o'neal|false
Spann Roofing & Sheet Metal, Inc.|Spann Roofing & Sheet Metal, Inc.|SC|1.00|2.00|70.00|136000.00|570373011|'Spann Roofing & Sheet Metal Inc.'|spann roofing & sheet metal|false
TW Metals - Atlanta|O'Neal Industries|GA|1.00|2.00|35.00|74124.00|464009440|'O'Neal Construction'|o'neal|false
Atlas Roofing, East Moline|Atlas Roofing|IL|1.00|2.00|43.00|98487.00||'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Red Pointe Roofing, LP|Red Pointe Roofing, LP|CA|1.00|2.00|93.00|185594.00|900957014|'Red Pointe Roofing'|red pointe roofing|false
Continental Tire The Americas, LLC|Continental Tire The Americas, LLC|MS|1.00|3.00|557.00|1168626.00|341417030|'Continental Tire the Americas LLC.'|continental tire the americas|false
M. Potteiger Inc.|M. Potteiger Inc.|PA|1.00|2.00|30.00|48238.00|231709914|'M. Potteiger Inc.'|m. potteiger|false
Weathergard Inc|Weathergard Inc|NC|1.00|2.00|34.00|58183.00||'Weathergard Inc.'|weathergard|false
Interstate Roofing, Inc.|Interstate Roofing, Inc.|OR|1.00|2.00|59.00|106606.00|930963870|'Interstate Roofing Inc.'|interstate roofing|false
A Brooks Roofing Inc|A Brooks Roofing Inc|NJ|1.00|2.00|47.00|90364.00|222902030|'A Brooks Roofing Inc.'|a brooks roofing|false
ARCHITECTURAL SHEET METAL, INC|ARCHITECTURAL SHEET METAL, INC|WA|1.00|2.00|45.00|89563.00|911160776|'Architectural Sheet Metal Inc.'|architectural sheet metal|false
Gillespie Roofing, Inc.|Gillespie Roofing, Inc.|WA|1.00|2.00|16.00|30074.00|911334128|'Gillespie Roofing Inc.'|gillespie roofing|false
Hertless Brothers Roofing, Inc.|Hertless Brothers Roofing, Inc.|VA|1.00|2.00|20.00|35748.00|202009976|'Hertless Brothers Roofing Inc.'|hertless brothers roofing|false
Advanced Roofing, Inc.|Advanced Roofing, Inc.|MI|1.00|2.00|19.00|33271.00|382819536|'Advanced Roofing Inc.', 'Advanced Roofing Services Inc.', 'Advanced Roofing Systems Inc.', 'Advanced Roofing Systems Ltd.'|advanced roofing|true
Roof Maintenance Systems|Roof Maintenance Systems|NJ|1.00|2.00|20.00|31182.00|222016917|'Roof Maintenance Systems'|roof maintenance|false
Pro Services Construction|Pro Services Construction|KY|1.00|2.00|25.00|36959.00|920193998|'Pro Services CO LLC'|pro|false
Texas Fifth Wall Roofing Systems|Texas Fifth Wall Roofing Systems|TX|1.00|2.00|115.00|268058.00||'Texas Fifth Wall Roofing Systems Inc.'|texas fifth wall roofing|false
Carlisle Polyurethane Systems - Emerson|Carlisle Construction Materials|GA|1.00|1.00|7.00|17189.00|464319816|'Carlisle Construction Materials'|carlisle construction materials|false
Webco Industries - Mannford Speciality Tube|Webco Industries|OK|1.00|2.00|198.00|408556.00|731097133|'WEBCO Services LLC'|webco|false
SRS Roofing and Sheet Metal, Inc|SRS Roofing & Sheet Metal, Inc|WI|1.00|2.00|41.00|58232.00|203056563|'SRS Roofing & Sheet Metal Inc.'|srs roofing & sheet metal|false
Watkins Roofing, Inc.|Watkins Roofing, Inc.|MO|1.00|2.00|50.00|67406.00|431003848|'Watkins Roofing Inc.'|watkins roofing|false
TCR Systems|TCR Systems LLC|IL|1.00|2.00|93.00|200132.00|141845838|'TCR Construction Group'|tcr|false
Poly Plastic Products of NC , Inc|Alpha Industries Management|NC|1.00|2.00|71.00|160708.00|200142517|'Alpha Construction Services'|alpha|false
Poly Plastic Products of PA , Inc.|Alpha Industries Management|PA|1.00|2.00|88.00|184858.00|222202824|'Alpha Construction Services'|alpha|false
J&B Installations, Inc.|J&B Installations, Inc.|NY|1.00|2.00|56.00|102092.00|161160437|'J&B Installations Inc.'|j&b installations|false
O'Neal Contracting, Inc.|O'Neal Roofing Company|FL|1.00|2.00|30.00|29633.00|593126643|'O'Neal Roofing Co. Inc.'|o'neal roofing|false
O'Neal Roofing Company|O'Neal Roofing Company|FL|1.00|2.00|36.00|38099.00|592015309|'O'Neal Roofing Co. Inc.'|o'neal roofing|false
Sun Commercial Roofs, Inc.|Sun Commercial Roofs, Inc.|TX|1.00|2.00|68.00|172125.00|752214198|'Sun Commercial Roofs Inc.'|sun commercial roofs|false
Radco - Cedar Rapids / Hiawatha|Radco|IA|1.00|1.00|4.00|8320.00|411796796|'Radco Construction Services'|radco|false
Momentum Builders Inc.|Momentum Builders Inc.|PA|1.00|2.00|15.00|19870.00||'Momentum Builders Inc.'|momentum builders|false
Mt. Pleasant|Dayco|MI|1.00|2.00|125.00|226498.00|161598206|'Dayco Inc.'|dayco|false
Richmond, VA Office|Whitley/Service Roofing & Sheet Metal Company|VA|1.00|2.00|40.00|68052.00||'Whitley/Service Roofing & Sheet Metal Company'|whitley/service roofing & sheet metal|false
Weathercraft Co. of Lincoln|Weathercraft Co. of Lincoln|NE|1.00|2.00|56.00|101560.00|470527585|'Weathercraft Co. of Lincoln'|weathercraft co. of lincoln|false
Atlas Fabrication, LLC|Atlas Fabrication, LLC|OK|1.00|2.00|15.00|2419832.00|823064794|'Atlas Fabrication'|atlas fabrication|false
Damschroder Roofing, Inc.|DAMSCHRODER ROOFING INC|OH|1.00|2.00|37.00|62298.00|342037110|'Damschroder Roofing LLC'|damschroder roofing|false
Armstrong International - Three Rivers Division|Armstrong International Inc.|MI|1.00|2.00|244.00|521202.00|380308010|'Armstrong Group Inc.'|armstrong|false
Platinum Roofing, LLC|Platinum Roofing, LLC|AR|1.00|2.00|33.00|90625.00|472769625|'Platinum Roofing', 'Platinum Roofing LLC', 'Platinum Roofing Solutions INC'|platinum roofing|true
Rain King, Inc.|Rain King, Inc.|TX|1.00|2.00|49.00|101928.00|742775327|'Rain King Inc.'|rain king|false
Smith Systems Inc|Smith Systems Inc|NC|1.00|2.00|44.00|92008.00||'Smith Group'|smith|false
Branch Office|Modern Roofing, Inc.|MI|1.00|2.00|55.00|94153.00|382184928|'Modern Roofing Inc.', 'Modern Roofing LLC'|modern roofing|true
Gustafson Industries Inc|Gustafson Industries Inc|FL|1.00|2.00|30.00|67955.00|592741607|'Gustafson Industries Inc.'|gustafson|false
atlas|atlas roofing corporation|TX|1.00|2.00|46.00|102102.00|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
TRANS COASTAL CONSTRUCTION|TRANS COASTAL CONSTRUCTION|FL|1.00|2.00|17.00|23446.00|591566091|'Trans Coastal Construction'|trans coastal|false
Atlas Roofing Corporation|Atlas Roofing Corporation|MS|1.00|2.00|216.00|547124.00|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Cylinder Manufacturing Valve & Pump Plant|Cross Manufacturing|KS|1.00|2.00|47.00|89919.00|480668545|'Cross Construction CO. INC.'|cross|false
NY|Neth & Son Inc|NY|1.00|2.00|101.00|114605.00|161010131|'Neth & Son Inc.'|neth & son|false
Cross Manufacturing Inc. All plants together|Cross Manufacturing Inc.|KS|1.00|2.00|111.00|220381.00|480668545|'Cross Construction CO. INC.'|cross|false
FL|Neth & Son Inc|FL|1.00|2.00|18.00|23780.00|061320679|'Neth & Son Inc.'|neth & son|false
Hamilton Roofing Inc|Hamilton Roofing Inc|FL|1.00|2.00|37.00|30450.00||'Hamilton Roofing Inc.'|hamilton roofing|false
Register Roofing & Sheet Metal, Inc.|Register Roofing & Sheet Metal, Inc.|FL|1.00|2.00|88.00|186064.00|542069021|'Register Roofing & Sheet Metal Inc.'|register roofing & sheet metal|false
Cardinal Roofing, Inc.|Cardinal Roofing, Inc.|TX|1.00|2.00|51.00|103571.00|751802132|'Cardinal Roofing', 'Cardinal Roofing Inc.'|cardinal roofing|true
BORNOR RESTORATION, INC.|BORNOR RESTORATION, INC.|MI|1.00|2.00|36.00|60738.00|381865292|'Bornor Restoration Inc.'|bornor restoration|false
Millwork & Panel LLC- Social Circle|CertainTeed LLC|GA|1.00|2.00|51.00|95063.00|320613145|'CertainTeed LLC'|certainteed|false
Western Pacific Roofing Corp. of Palm Springs|Western Pacific Roofing Corp.|CA|1.00|2.00|27.00|54385.00|952386834|'Western Pacific Roofing Corp.'|western pacific roofing|false
Western Pacific Roofing Corp.|Western Pacific Roofing Corp.|CA|1.00|2.00|44.00|91284.00|952386834|'Western Pacific Roofing Corp.'|western pacific roofing|false
AOC Tennessee Resins|Alpha Corporation|TN|1.00|2.00|68.00|153179.00||'Alpha Construction Services'|alpha|false
Molloy Roofing Company|Molloy Roofing Company|OH|1.00|2.00|50.00|94710.00|310787317|'Molloy Roofing Co.'|molloy roofing|false
Filotto Roofing|Filotto Roofing|IL|1.00|2.00|30.00|46757.00|363964971|'Filotto Roofing, Inc.'|filotto roofing|false
GKL Companies|GKL Companies, Inc.|AL|1.00|2.00|20.00|39534.00|631050305|'GKL Companies Inc.'|gkl companies|false
RPG Shakopee|CertainTeed LLC|MN|1.00|3.00|260.00|507478.00||'CertainTeed LLC'|certainteed|false
Service Roofing Company|Service Roofing Company|IA|1.00|2.00|24.00|32063.00|420895028|'Service Roofing Co.'|service roofing|false
Sherriff-Goslin Company|Sherriff-Goslin Company|MI|1.00|2.00|150.00|161000.00||'Sherriff-Goslin Co.'|sherriff-goslin|false
Aspen Manufacturing, LLC|Aspen Manufacturing|TX|1.00|3.00|333.00|933014.00|453120278|'Aspen Group'|aspen|false
McCarthy Building Companies, Inc. - Dallas Office|McCarthy Building Companies, Inc.|TX|1.00|2.00|129.00|269271.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Harmon Road Improvements Project # 2200|McCarthy Building Companies, Inc.|TX|1.00|1.00|12.00|25979.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
McCarthy Building Companies, Inc. - NE TX Cancer & Research Institute|McCarthy Building Companies, Inc.|TX|1.00|1.00|16.00|33517.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Performance Roofing LLC|Performance Roofing LLC|FL|1.00|2.00|34.00|37436.00|205739365|'Performance Roofing Inc.', 'Performance Roofing Systems Inc.'|performance roofing|true
CertainTeed, LLC|CertainTeed, LLC|MO|1.00|3.00|284.00|615348.00|232510893|'CertainTeed LLC'|certainteed|false
Delta Contracting Inc.|Delta Contracting Inc.|NC|1.00|2.00|113.00|267997.00|561880490|'Delta Contracting Services Inc.'|delta contracting|false
JM Eagle PCP|JM Manufacturing|CA|1.00|1.00|15.00|28368.00|840895616|'JM Contractors Inc'|jm|false
Anderson Industries|Anderson Industries|SC|1.00|2.00|245.00|651799.00|261604901|'Anderson Associates'|anderson|false
Custofoam Corporation|Custofoam Corporation|WI|1.00|2.00|18.00|20007.00|391178726|'Custofoam Corp.'|custofoam|false
IRS Jackson|Independent Roofing Systems|MS|1.00|2.00|143.00|290797.00|640657679|'Independent Roofing Company Inc.', 'Independent Roofing Systems Inc.'|independent roofing|true
NRG Joliet Generating Station|NRG|IL|1.00|2.00|45.00|102055.00|463985344|'NRG Construction LLC'|nrg|false
NRG Will County Generating Station|NRG|IL|1.00|2.00|47.00|98683.00|463985344|'NRG Construction LLC'|nrg|false
Mid-South Roof Systems|Mid-South Roof Systems|GA|1.00|2.00|160.00|366000.00|581876904|'Mid-South Roof Systems'|mid-south roof|false
Boyd Corporation Allenton|Boyd Corp|WI|1.00|2.00|121.00|223872.00|274599147|'Boyd Inc.'|boyd|false
The Quality Roofing Company|The Quality Roofing Company|MO|1.00|2.00|20.00|40808.00|440400020|'The Quality Roofing Co. Inc.'|the quality roofing|false
Celoseal Roofing Inc.|Celoseal Roofing Inc.|CA|1.00|2.00|50.00|80322.00|952647166|'Celoseal Roofing Inc.'|celoseal roofing|false
Exterior Services|Fort-Cica Roofing & General Contractors Inc.|NY|1.00|2.00|40.00|70683.00|131763196|'Fort-Cica Roofing & General Contractors Inc.'|fort-cica roofing & general|false
Weathercraft, Inc.|Weathercraft, Inc.|MO|1.00|2.00|33.00|59047.00|431206531|'Weathercraft Inc.'|weathercraft|false
Four Seasons Rancho Encantado|Four Seasons|NM|1.00|2.00|145.00|264981.00|542202028|'Four Seasons Construction LLC'|four seasons|false
Stickney WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3.00|3.00|653.00|1019878.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Manson Roofing, Inc.|Manson Roofing, Inc.|FL|1.00|2.00|32.00|68365.00|591799056|'Manson Roofing Inc.'|manson roofing|false
O'Brien WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3.00|2.00|183.00|299437.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Main Office Building Annex (MOBA)|Metropolitan Water Reclamation District of Greater Chicago|IL|3.00|3.00|263.00|145882.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Main Office Building (MOB)|Metropolitan Water Reclamation District of Greater Chicago|IL|3.00|2.00|225.00|153882.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Kirie WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3.00|2.00|45.00|70970.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Hanover Park WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3.00|2.00|22.00|36755.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Egan WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3.00|2.00|69.00|109374.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Calumet WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3.00|3.00|262.00|423730.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Schulte Roofing|Schulte Roofing|TX|1.00|2.00|25.00|56240.00|810555670|'Schulte Roofing Inc.'|schulte roofing|false
Griffith Roofing Co.|Griffith Roofing Co.|OR|1.00|2.00|42.00|77912.00||'Griffith Roofing Co.'|griffith roofing|false
Central Roofing Company|Central Roofing Co.|CA|1.00|2.00|44.00|74520.00|330536574|'Central Roofing', 'Central Roofing Co.', 'Central Roofing Inc.', 'Central Roofing LLC'|central roofing|true
Atlanta Roofing Plant|Owens Corning|GA|1.00|2.00|100.00|229851.00||'Owens Corning'|owens corning|false
Atlanta Asphalt Plant|Owens Corning|GA|1.00|1.00|16.00|36928.00||'Owens Corning'|owens corning|false
King of Texas Roofing|King of Texas Roofing|TX|1.00|2.00|79.00|141958.00|752969578|'King of Texas Roofing Company LP'|king of texas roofing|false
Mint Roofing|Mint Roofing|MN|1.00|2.00|51.00|85094.00|810389786|'Mint Roofing Inc.'|mint roofing|false
NRG Gregory PP|NRG|TX|1.00|1.00|15.00|22506.00||'NRG Construction LLC'|nrg|false
Viking Roofing, Inc|Viking Roofing, Inc|NH|1.00|2.00|13.00|24720.00||'Viking Roofing Inc.'|viking roofing|false
Diamond Roofing Systems, LLP|Diamond Roofing Systems|OH|1.00|2.00|41.00|81790.00|462010388|'Diamond Roofing', 'Diamond Roofing Co. Inc.', 'Diamond Roofing Systems'|diamond roofing|true
Owens Corning Rockford Foamular|Owens Corning|IL|1.00|2.00|68.00|131808.00|383737830|'Owens Corning'|owens corning|false
Capitol Roofing Inc|Capitol Roofing Inc|WY|1.00|2.00|25.00|52000.00|800328938|'Capitol Roofing Inc.'|capitol roofing|false
WATER CONTROL ROOFING COMPANY INC|WATER CONTROL ROOFING COMPANY INC|TN|1.00|2.00|32.00|57358.00|621225632|'Water Control Roofing Co.'|water control roofing|false
Momentum Builders, Inc.|Momentum Builders, Inc.|PA|1.00|2.00|15.00|28264.00||'Momentum Builders Inc.'|momentum builders|false
Webco Oklahoma Distribution|Webco Industries|OK|1.00|2.00|45.00|85989.00|731097133|'WEBCO Services LLC'|webco|false
Webco - Texas Distribution|Webco Industries|TX|1.00|2.00|30.00|57943.00|731097133|'WEBCO Services LLC'|webco|false
Graham Prewett, Inc.|Graham Prewett, Inc.|CA|1.00|2.00|82.00|145409.00|770565773|'Graham Prewett Inc.'|graham prewett|false
Metal-Era|Metal-Era|WI|1.00|2.00|208.00|368207.00|391464141|'Metal-Era LLC'|metal-era|false
Tarheel Roofing, Inc.|Tarheel Roofing, Inc.|FL|1.00|2.00|58.00|127616.00|592679504|'Tarheel Roofing Inc.'|tarheel roofing|false
COLLINS ROOFING INC|Collins Roofing Inc.|UT|1.00|2.00|29.00|66138.00|870306507|'Collins Roofing Inc.'|collins roofing|false
O'Neal Manufacturing Services Houston|O'Neal Industries|TX|1.00|2.00|79.00|154861.00|464009440|'O'Neal Construction'|o'neal|false
Wray Roofing, Inc|Wray Roofing|KS|1.00|2.00|88.00|143139.00|480924349|'Wray Roofing Inc.'|wray roofing|false
Great Lakes Roofing Corp - Menasha|Great Lakes Roofing Corporation|WI|1.00|2.00|22.00|41718.00|391583074|'Great Lakes Roofing Corp.'|great lakes roofing|false
Quincy 2|Royal Technologies|MI|1.00|1.00|27.00|49617.00|382726351|'Royal industries LLC'|royal|false
Highland|Royal Technologies|MI|1.00|2.00|22.00|48879.00|382726351|'Royal industries LLC'|royal|false
Royal Center|Royal Technologies|MI|1.00|2.00|138.00|267026.00|382726351|'Royal industries LLC'|royal|false
Cullman|Royal Technologies|MI|1.00|2.00|185.00|409132.00|382726351|'Royal industries LLC'|royal|false
Mission|Royal Technologies|MI|1.00|2.00|135.00|291719.00|382726351|'Royal industries LLC'|royal|false
Corp Grove|Royal Technologies|MI|1.00|3.00|276.00|573213.00|382726351|'Royal industries LLC'|royal|false
Quincy|Royal Technologies|MI|1.00|3.00|410.00|839912.00|382726351|'Royal industries LLC'|royal|false
URSM|United Roofing & Sheet Metal, Inc.|CT|1.00|2.00|47.00|84637.00|472424796|'United Roofing & Sheet Metal Inc.'|united roofing & sheet metal|false
6304_14768|Architectural Metals Inc|MI|1.00|2.00|48.00|90685.00|382755753|'Architectural Metals, Inc.'|architectural metals|false
2341_4277|Brandle Roofing & Sheet Metal|MI|1.00|2.00|30.00|54168.00|382446283|'Brandle Roofing & Sheet Metal Co.'|brandle roofing & sheet metal|false
Scholten Roofing inc|Scholten Roofing Inc|WA|1.00|2.00|20.00|32995.00|910890646|'Scholten Roofing Inc.'|scholten roofing|false
Premier Industries Corporation|Premier Industries Corporation|MI|1.00|2.00|24.00|41469.00|382640806|'Premier Enterprises'|premier|false
Colorado Moisture Control, Inc.|Colorado Moisture Control, Inc.|CO|1.00|2.00|59.00|127278.00||'Colorado Moisture Control Inc.'|colorado moisture control|false
Royal Roofing Company Inc.|Royal Roofing Company Inc.|MI|1.00|2.00|186.00|346830.00|382482479|'Royal Roofing Inc.'|royal roofing|false
Southern Management Companies|Southern Management Corporation|VA|1.00|3.00|1177.00|2268946.00|521223227|'Southern National'|southern|false
Unilock Tonganoxie|Unilock|KS|1.00|1.00|3.00|4906.00||'Unilock'|unilock|false
All-South Subcontractors Birmingham|All-South Subcontractors, Inc.|AL|1.00|2.00|75.00|175727.00||'All-South Subcontractors, Inc.'|all-south subcontractors|false
Harness Roofing Corp|Harness Roofing, Inc.|AR|1.00|2.00|23.00|47840.00|710654212|'Harness Roofing Inc.'|harness roofing|false
