establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name|company_name_multiple_match
Commonwealth Building Company Inc.|Commonwealth Building Company|MA|1.00|2.00|33.00|68000.00|042706053|'Commonwealth Building Systems LLC'|commonwealth building|false
Jim Murray Roofing, Inc.|Jim Murray Roofing, Inc.|CA|1.00|2.00|40.00|74961.00|814059502|'Jim Murray Roofing Inc'|jim murray roofing|false
The Gehringer Corporation|The Gehringer Corporation|PA|1.00|2.00|20.00|42277.00|232299879|'The Gehringer Corp.'|the gehringer|false
Carlon Roofing & Sheet Metal, Inc|Carlon Roofing & Sheet Metal, Inc.|KY|1.00|2.00|48.00|97743.00|611172306|'Carlon Roofing & Sheet Metal Company'|carlon roofing & sheet metal|false
Jottan, Inc.|Jottan, Inc.|NJ|1.00|2.00|85.00|148155.00|222768915|'Jottan Inc.'|jottan|false
Decor, Inc|Decor, Inc|CO|1.00|1.00|15.00|28451.00|263924302|'Decor Construction Inc.'|decor|false
Roberts Roofing Co|Roberts Roofing Company|OH|1.00|2.00|24.00|45189.00|341418432|'Roberts Roofing Co.', 'Roberts Roofing Co. Inc.'|roberts roofing|true
Pfeifer Roofing, Inc|Pfeifer Roofing, Inc.|OR|1.00|2.00|65.00|136327.00|931225470|'Pfeifer Roofing Inc.'|pfeifer roofing|false
GUNTER CONSTRUCTION ROOFING, INC.|GUNTER CONSTRUCTION ROOFING, INC.|KY|1.00|2.00|31.00|64837.00|611065364|'Gunter Construction Roofing Inc.'|gunter construction roofing|false
Preferred Manuracturing Services Inc d.b.a. Snowline Engineering|Preferred Manufacturing Services Inc.|CA|1.00|2.00|63.00|114545.00|680419694|'Preferred Construction Services Inc.'|preferred|false
Roof Management Services LLC|Roof Management Services LLC|ME|1.00|2.00|17.00|34008.00|263318366|'Roof Management Services Inc.', 'Roof Partners LLC', 'Roof Services LLC', 'Roof Solutions Inc.', 'Roof Technologies', 'Roof Technologies LLC'|roof|true
CertainTeed Corporation Williamsport Maryland|CertainTeed Corporation|MD|1.00|3.00|304.00|576998.00||'CertainTeed LLC'|certainteed|false
Crawford Roofing|Crawford Roofing INC.|OK|1.00|2.00|27.00|3078125.00|730951924|'Crawford Roofing Corp.', 'Crawford Roofing Inc.'|crawford roofing|true
Nu-Tec Roofing Contractors|Nu-Tec Roofing Contractors LLC|IN|1.00|2.00|70.00|131289.00|352114307|'Nu-Tec Roofing Contractors LLC'|nu-tec roofing|false
Construction - Roofing|Southern Roofing Company Inc.|FL|1.00|2.00|48.00|97034.00|593711033|'Southern Roofing Co. Inc.', 'Southern Roofing Inc.', 'Southern Roofing Services Inc.'|southern roofing|true
Southeast Roofing Solutions|Southeast Roofing Solutions|GA|1.00|2.00|77.00|160549.00|580976458|'Southeast Roofing Solutions Inc.'|southeast roofing|false
Allweather Roof|Allweather Roof|MN|1.00|2.00|76.00|129976.00|411536214|'Allweather Roof'|allweather roof|false
Lincoln Office|White Castle Roofing|NE||2.00|212.00|329766.00||'White Castle Roofing'|white castle roofing|false
Apple Roofing|Apple Roofing Corp.|NY|1.00|2.00|33.00|56371.00||'Apple Roofing Corp.'|apple roofing|false
