establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name|company_name_multiple_match
Decor, Inc|Decor, Inc|CO|1|2.00|28.00|40929.00|263924302|'Decor Construction Inc.'|decor|false
Shay REoofing Inc|Shay Roofing Inc|IL|1|2.00|55.00|83446.00||'Shay Roofing Inc.'|shay roofing|false
Perry Roofing Contractors|Perry Roofing Contractors|FL|1|2.00|80.00|187200.00|592579110|'Perry Roofing Co.'|perry roofing|false
Hampton Office|Pyramid Roofing|VA|1|1.00|16.00|28160.00|161755493|'Pyramid Roofing Co. Inc.'|pyramid roofing|false
Williamsburg Office|Pyramid Roofing|VA|1|1.00|13.00|22900.00|161755493|'Pyramid Roofing Co. Inc.'|pyramid roofing|false
Preferred Manuracturing Services Inc d.b.a. Snowline Engineering|Preferred Manufacturing Services Inc.|CA|1|2.00|62.00|112162.00|680419694|'Preferred Construction Services Inc.'|preferred|false
Browning Chapman, LLC|Browning Chapman, LLC|IN|1|2.00|142.00|227324.00||'Browning Chapman, LLC'|browning chapman|false
Atlas Roofing Corp. 2018|Atlas Roofing Corp.|IL|1|2.00|42.00|101586.00||'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Atlas Molded Products|Atlas Roofing Corporation|MI|1|2.00|142.00|331669.00|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
M. Potteiger Inc.|M. Potteiger Inc.|PA|1|2.00|32.00|48056.00|231709914|'M. Potteiger Inc.'|m. potteiger|false
O'Neal Manufacturing Services dba Iowa Laser Technology|O'Neal Manufacturing Services|IA|1|2.00|140.00|287434.00||'O'Neal Construction'|o'neal|false
Atlas Roofing Corporation|Atlas Roofing Corporation|GA|1|2.00|36.00|76871.00|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Armstrong Associates Inc|Armstrong Associates Inc|CA|1|2.00|25.00|51000.00|770515247|'Armstrong Group Inc.'|armstrong|false
Apple Roofing|Apple Roofing Corp.|NY|1|2.00|46.00|79697.00||'Apple Roofing Corp.'|apple roofing|false
Crawford Roofing|Crawford Roofing INC.|OK|1|2.00|35.00|58201.00|730951924|'Crawford Roofing Corp.', 'Crawford Roofing Inc.'|crawford roofing|true
Roof Maintenance Systems|Roof Maintenance Systems|NJ|1|2.00|25.00|38941.00||'Roof Maintenance Systems'|roof maintenance|false
Versacon, Inc.|Versacon, Inc.|MN|1|2.00|22.00|43290.00||'VersaCon LLC'|versacon|false
Atlas Roofing Corporation|Atlas Roofing Corporation|AL|1|2.00|51.00|109214.00|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
American Roofing|American Roofing|TX|1|2.00|110.00|189730.00|741609768|'American Roofing Co.'|american roofing|false
Wm. Kramer & Son, Inc|Wm. Kramer & Son, Inc|OH|1|2.00|76.00|137609.00|310787481|'Wm. Kramer & Son Inc.'|wm. kramer & son|false
Aspen Manufacturing, LLC|Aspen Manufacturing|TX|1|3.00|194.00|510680.00||'Aspen Group'|aspen|false
Sentry Roofing, Inc.|Sentry Roofing, Inc.|IN|1|2.00|37.00|49362.00||'Sentry Roofing Inc.'|sentry roofing|false
Atlas Roofing Corporation|Atlas Roofing Corporation|OK|1|2.00|59.00|156283.00||'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Highland - Wilmington|Highland Roofing Company|NC|1|2.00|33.00|67658.00||'Highland Roofing Co. Inc.', 'Highland Roofing Company'|highland roofing|true
Highland - Raleigh|Highland Roofing Company|NC|1|1.00|1.00|2024.00||'Highland Roofing Co. Inc.', 'Highland Roofing Company'|highland roofing|true
Calumet Water Reclamation Plant|Metropolitan Water Reclamation District of Greater Chicago|IL|3|3.00|267.00|443515.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Main Office Building Annex|Metropolitan Water Reclamation District of Greater Chicago|IL|3|3.00|294.00|429238.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Egan Water Reclamation Plant|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2.00|77.00|129660.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Hanover Park Water Reclamation Plant|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2.00|22.00|37224.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
IRS Jackson|Independent Roofing Systems|MS|1|2.00|74.00|165649.00||'Independent Roofing Company Inc.', 'Independent Roofing Systems Inc.'|independent roofing|true
Kirie Water Reclamation Plant|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2.00|46.00|80124.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Stickney Water Reclamation Plant|Metropolitan Water Reclamation District of Greater Chicago|IL|3|3.00|663.00|1130150.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Obrien Water Reclamation Plant|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2.00|188.00|330059.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Main Office Building|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2.00|246.00|347196.00||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Waiwai Loop Warehouse|Window World, Inc.|HI|1|2.00|70.00|134400.00|942978093|'Window World Inc.'|window world|false
Mint Roofing, Inc.|Mint Roofing, Inc.|MN|1|2.00|50.00|90202.00|810389786|'Mint Roofing Inc.'|mint roofing|false
SRS Roofing and Sheet Metal, Inc|SRS Roofing & Sheet Metal, Inc|WI|1|2.00|45.00|68218.00|203056563|'SRS Roofing & Sheet Metal Inc.'|srs roofing & sheet metal|false
2019 N Gateway #200   Fresno, CA 93727|Haydon Construction Incorporated|CA|1|2.00|51.00|67937.00|770032290|'Haydon Corporation'|haydon|false
Red Pointe Roofing, LP|Red Pointe Roofing, LP|CA|1|2.00|124.00|270138.00||'Red Pointe Roofing'|red pointe roofing|false
Bloomington - BIC|Braun Intertec Corporation|MN|1|3.00|405.00|861203.00||'Braun Intertec Corp.'|braun intertec|false
Hibbing - BIC|Braun Intertec Corporation|MN|1|2.00|21.00|38324.00||'Braun Intertec Corp.'|braun intertec|false
White Bear Lake - BIC|Braun Intertec Corporation|MN|1|2.00|43.00|76895.00||'Braun Intertec Corp.'|braun intertec|false
TWIN CITY ROOFING LLC|TWIN CITY ROOFING LLC|ND|1|2.00|25.00|44478.00||'Twin City Roofing LLC'|twin city roofing|false
Weathergard Inc|Weathergard Inc|NC|1|2.00|37.00|56474.00||'Weathergard Inc.'|weathergard|false
Warren Construction & Roofing, Inc|Warren Construction & Roofing, Inc|CA|1|2.00|25.00|45980.00|202626621|'Warren Construction & Roofing Inc.'|warren construction & roofing|false
Gillespie Roofing, Inc.|Gillespie Roofing, Inc.|WA|1|2.00|17.00|38540.00|911334128|'Gillespie Roofing Inc.'|gillespie roofing|false
Commercial Roofing Contractor|Interstate Roofing Co Inc|NC|1|2.00|44.00|112644.00||'Interstate Roofing Inc.'|interstate roofing|false
RPG Shakopee|CertainTeed LLC|MN|1|3.00|230.00|473251.00||'CertainTeed LLC'|certainteed|false
GKL Companies|GKL Companies, Inc.|AL|1|2.00|27.00|52585.00|631050305|'GKL Companies Inc.'|gkl companies|false
CertainTeed Jonesburg|CertainTeed|MO|1|2.00|116.00|287452.00||'CertainTeed LLC'|certainteed|false
Owens Corning Fairburn Plant|Owens Corning|GA|1|3.00|255.00|572705.00|371525228|'Owens Corning'|owens corning|false
A Brooks Roofing Inc|A Brooks Roofing Inc|NJ|1|2.00|48.00|102877.00||'A Brooks Roofing Inc.'|a brooks roofing|false
Mid-South Roof Systems|Mid-South Roof Systems|GA|1|2.00|185.00|417000.00|581876904|'Mid-South Roof Systems'|mid-south roof|false
River Roofing Inc.|River Roofing Inc.|OR|1|2.00|42.00|69329.00|931046398|'River Roofing Inc.'|river roofing|false
Owens Corning Brentwood|Owens Corning|NH|1|2.00|70.00|172541.00|743189734|'Owens Corning'|owens corning|false
Exterior Services|Fort-Cica Roofing & General Contractors Inc.|NY|1|2.00|40.00|67187.00||'Fort-Cica Roofing & General Contractors Inc.'|fort-cica roofing & general|false
McEnany Roofing, Inc T|McEnany Roofing, Inc|FL|1|2.00|140.00|287793.00|592583665|'McEnany Roofing Inc.'|mcenany roofing|false
O'Neal Contracting, Inc.|O'Neal Roofing Company|FL|1|2.00|35.00|25399.00||'O'Neal Roofing Co. Inc.'|o'neal roofing|false
O'Neal Roofing Company|O'Neal Roofing Company|FL|1|2.00|40.00|51291.00||'O'Neal Roofing Co. Inc.'|o'neal roofing|false
Specialty Roofing|Specialty Roofing Inc|AZ|1|2.00|56.00|111104.00|860224636|'Specialty Roofing Inc.'|specialty roofing|false
Jottan, Inc.|Jottan, Inc.|NJ|1|2.00|83.00|160973.00||'Jottan Inc.'|jottan|false
Celoseal Roofing|Celoseal Roofing|CA|1|2.00|65.00|105572.00|952647166|'Celoseal Roofing Inc.'|celoseal roofing|false
PRO Services, INC|PRO Services|MI|1|2.00|181.00|406763.00||'Pro Services CO LLC'|pro|false
MT3 Corporation|Diamond Everley Roofing Contractors|KS|1|2.00|42.00|85344.00|481048575|'Diamond Everley Roofing Contractors'|diamond everley roofing|false
